tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,18,0,0.002975206611570248,0,0,0,1590,18,0,1,3.748277392484112,0
1,35,0,0.005851239669421487,0,0,0,1590,35,0,1,3.778029458599813,0
2,47,0,0.008528925619834708,0,0,0,1590,47,0,1,3.80447573959155,0
3,59,0,0.01130578512396694,0,0,0,1590,59,0,1,3.8309220205832855,0
4,78,0,0.015322314049586767,0,0,0,1590,78,0,1,3.8689385495089024,0
5,90,0,0.018892561983471053,0,0,0,1590,90,0,2,3.9019964007485726,0
6,97,0,0.021570247933884283,0,0,0,1590,97,0,3,3.925136896616341,0
7,103,0,0.024892561983471055,0,0,0,1590,103,0,3,3.954888962732046,0
8,106,0,0.027173553719008238,0,0,0,1590,106,0,3,3.9747236734758467,0
9,111,0,0.031140495867768573,0,0,0,1590,111,0,3,4.009434417277498,0
10,112,0,0.03416528925619832,0,0,0,1590,112,0,3,4.035880698269239,0
11,116,2,0.040016528925619826,2,0,7262324.999999998,1590,116,2,3,4.087120367690724,1
12,118,5,0.04309090909090909,5,0,1.7126611805369742E7,1613.673925181463,118,5,3,4.113566648682459,1
13,120,5,0.047504132231404934,5,0,1.7126611805369742E7,1590,120,5,3,4.15158317760808,1
14,123,7,0.0506280991735537,7,0,2.5223686805369742E7,1590,123,7,3,4.179682351161796,1
15,126,10,0.055338842975206616,10,0,3.914372917835602E7,1614.2688843065916,126,10,4,4.221004665211387,1
16,130,18,0.05955371900826445,18,0,7.112486022238737E7,1639.3857908138802,130,18,4,4.259021194137005,1
17,132,22,0.06337190082644632,22,0,8.331659041466841E7,1641.6201316609502,132,22,4,4.292079045376674,1
18,132,28,0.06614876033057861,28,0,1.0664954841052938E8,1616.2825535385284,132,28,4,4.316872433806428,1
19,132,32,0.06927272727272737,32,0,1.203160849500928E8,1644.5956442609129,132,32,4,4.343318714798159,1
