tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,16,0,0.0026065573770491803,0,0,0,1335,16,0,0,3.672244609588432,0
1,34,0,0.005459016393442621,0,0,0,1335,34,0,1,3.701752806309744,0
2,49,0,0.009049180327868849,0,0,0,1335,49,0,1,3.7378183800802365,0
3,61,0,0.012868852459016391,0,0,0,1335,61,0,3,3.7771626423753206,0
4,76,0,0.017147540983606546,0,0,0,1335,76,0,3,3.8165069046703994,0
5,86,0,0.021229508196721297,0,0,0,1335,86,0,3,3.8542118227031863,0
6,92,0,0.025475409836065548,0,0,0,1335,92,0,4,3.8935560849982678,0
7,94,0,0.02796721311475408,0,0,0,1335,94,0,4,3.916506904670401,0
8,102,0,0.03165573770491802,0,0,0,1335,102,0,6,3.9525724784408927,0
9,107,0,0.035950819672131144,0,0,0,1335,107,0,7,3.9919167407359777,0
10,111,0,0.039344262295081964,0,0,0,1335,111,0,9,4.024703625981877,0
11,115,0,0.044032786885245874,0,0,0,1335,115,0,9,4.067326576801548,0
12,119,2,0.04757377049180327,2,0,7969949.999999998,1335,119,2,9,4.0984741177851545,1
13,120,5,0.050622950819672115,5,0,2.1107298571054008E7,1353.6680650235974,120,5,9,4.124703625981875,1
14,120,6,0.05475409836065575,6,0,2.4292803560316097E7,1353.9664358018113,120,6,9,4.160769199752366,1
15,121,8,0.057459016393442655,8,0,3.1666233307953198E7,1373.0781652955498,121,8,9,4.183720019424501,1
16,123,12,0.06081967213114756,12,0,4.5945048233100265E7,1373.4898571900114,123,12,9,4.213228216145811,1
17,125,17,0.0639836065573771,17,0,6.6021910850695275E7,1374.2912226224519,125,17,10,4.241097068604829,1
18,125,19,0.06575409836065578,19,0,7.372539142151207E7,1395.5580744233303,125,19,10,4.255851166965483,1
19,125,25,0.06921311475409841,25,0,9.698717787750052E7,1457.505417041882,125,25,10,4.285359363686793,1
20,125,35,0.07296721311475413,33,0,1.3459766404630333E8,1483.0164753237518,125,33,10,4.318146248932698,0.9428571428571428
21,128,43,0.07529508196721316,39,0,1.6346134483930534E8,1492.1216115312113,128,39,10,4.339457724342531,0.9069767441860465
22,131,47,0.07786885245901648,42,0,1.7618996055073297E8,1476.8088770655072,131,42,10,4.362408544014663,0.8936170212765957
23,131,53,0.07975409836065583,46,0,1.914435837836553E8,1480.6774838825702,131,46,10,4.378801986637613,0.8679245283018868
24,133,56,0.08260655737704936,49,0,1.9748295410953102E8,1435.925858449739,133,49,10,4.403392150572041,0.875
25,135,64,0.08534426229508212,51,0,2.1642875290136403E8,1463.2346852105352,135,51,11,4.427982314506465,0.796875
26,137,70,0.08860655737704928,51,0,2.287627619149145E8,1470.102934691755,137,51,11,4.457490511227782,0.7285714285714285
27,138,73,0.09131147540983621,51,0,2.3562321495111793E8,1446.723792879515,138,51,11,4.480441330899911,0.6986301369863014
28,138,78,0.09401639344262305,51,0,2.4792670045893583E8,1477.1294274218262,138,51,11,4.503392150572042,0.6538461538461539
29,139,82,0.09627868852459034,51,0,2.6052512393884486E8,1452.6027303019785,139,51,11,4.52306428171958,0.6219512195121951
30,139,87,0.09760655737704932,51,0,2.769667266611379E8,1456.6203962164338,139,51,11,4.534539691555647,0.5862068965517241
31,139,89,0.09942622950819693,51,0,2.807655978780182E8,1462.0457305151922,139,51,11,4.5509331341786,0.5730337078651685
32,139,93,0.10055737704918052,51,0,2.8971013565021014E8,1431.1740359813448,139,51,11,4.560769199752372,0.5483870967741935
33,139,93,0.10149180327868876,51,0,2.8971013565021014E8,1335,139,51,11,4.568965921063843,0.5483870967741935
34,141,93,0.1031147540983608,51,0,2.8971013565021014E8,1335,141,51,11,4.583720019424498,0.5483870967741935
35,141,94,0.10518032786885265,51,0,2.9242484210731745E8,1367.9548788648658,141,51,11,4.6017528063097455,0.5425531914893617
36,141,95,0.10685245901639363,51,0,2.95140159618334E8,1368.2627921474289,141,51,11,4.616506904670404,0.5368421052631579
37,141,97,0.10837704918032798,51,0,3.007157403349965E8,1368.5765136628797,141,51,11,4.629621658768761,0.5257731958762887
38,141,98,0.11039344262295099,51,0,3.037204981267993E8,1369.222051402479,141,51,11,4.647654445654008,0.5204081632653061
39,141,99,0.11196721311475435,51,0,3.042522987582151E8,1369.5542188898444,141,51,11,4.660769199752369,0.5151515151515151
40,141,100,0.1132950819672133,51,0,3.0682648764396894E8,1369.6136662696554,141,51,11,4.672244609588433,0.51
41,141,103,0.11526229508196742,51,0,3.1541404126665676E8,1369.9535172190856,141,51,11,4.6886380522113855,0.49514563106796117
42,142,103,0.11649180327868872,51,0,3.1541404126665676E8,1407.0286536392218,142,51,11,4.700113462047454,0.49514563106796117
43,142,104,0.11762295081967233,51,0,3.17741019784767E8,1407.0286536392218,142,51,11,4.709949527621222,0.49038461538461536
44,142,104,0.11875409836065587,51,0,3.17741019784767E8,1371.2910070766777,142,51,11,4.7197855931949935,0.49038461538461536
45,142,107,0.1208196721311477,51,0,3.267689141298562E8,1371.2910070766777,142,51,11,4.737818380080238,0.4766355140186916
46,142,110,0.12211475409836091,51,0,3.361452967305102E8,1447.3076484763426,142,51,11,4.749293789916304,0.4636363636363636
47,143,114,0.12344262295081992,51,0,3.47696022907143E8,1450.966039835047,143,51,11,4.760769199752368,0.4473684210526316
48,143,118,0.12477049180327893,51,1,3.580755505970559E8,1456.1243920579911,143,52,11,4.772244609588431,0.4406779661016949
49,143,121,0.1262950819672134,51,2,3.6432797631390834E8,1461.8803098068622,143,53,11,4.785359363686797,0.4380165289256198
50,143,121,0.12709836065573793,51,2,3.6432797631390834E8,1378.408545820232,143,53,11,4.793556084998274,0.4380165289256198
51,143,122,0.1282786885245904,51,2,3.670634280730886E8,1378.408545820232,143,53,11,4.803392150572036,0.4344262295081967
52,144,122,0.12921311475409863,51,2,3.670634280730886E8,1378.9443777116471,144,53,11,4.811588871883515,0.4344262295081967
53,145,122,0.1300491803278691,51,2,3.670634280730886E8,1378.9443777116471,145,53,11,4.819785593194994,0.4344262295081967
54,145,122,0.13132786885245928,51,2,3.670634280730886E8,1378.9443777116471,145,53,11,4.8312610030310585,0.4344262295081967
55,145,122,0.13265573770491826,51,2,3.670634280730886E8,1378.9443777116471,145,53,11,4.842736412867121,0.4344262295081967
56,145,122,0.1337868852459019,51,2,3.670634280730886E8,1378.9443777116471,145,53,11,4.852572478440892,0.4344262295081967
57,145,122,0.13418032786885267,51,2,3.670634280730886E8,1378.9443777116471,145,53,11,4.855851166965484,0.4344262295081967
58,146,123,0.13521311475409867,51,2,3.6994473235031706E8,1378.9443777116471,146,53,12,4.865687232539255,0.43089430894308944
59,146,123,0.13536065573770525,51,2,3.6994473235031706E8,1379.493603474807,146,53,12,4.8673265768015535,0.43089430894308944
60,146,123,0.13614754098360682,51,2,3.6994473235031706E8,1379.493603474807,146,53,12,4.873883953850731,0.43089430894308944
61,146,124,0.13727868852459035,51,2,3.728271842347777E8,1379.493603474807,146,53,12,4.883720019424499,0.4274193548387097
62,146,124,0.1378688524590167,51,2,3.728271842347777E8,1380.056731663716,146,53,12,4.888638052211383,0.4274193548387097
63,146,124,0.13826229508196744,51,2,3.728271842347777E8,1380.056731663716,146,53,12,4.891916740735977,0.4274193548387097
64,146,124,0.1384590163934429,51,2,3.728271842347777E8,1380.056731663716,146,53,12,4.893556084998269,0.4274193548387097
65,146,124,0.13900000000000023,51,2,3.728271842347777E8,1380.056731663716,146,53,12,4.898474117785156,0.4274193548387097
66,146,124,0.13919672131147565,51,2,3.728271842347777E8,1380.056731663716,146,53,12,4.900113462047453,0.4274193548387097
67,146,125,0.13978688524590188,51,2,3.751479202625528E8,1425.113463327432,146,53,12,4.90503149483434,0.424
68,146,125,0.14027868852459058,51,2,3.751479202625528E8,1426.112593485009,146,53,12,4.909949527621226,0.424
69,146,125,0.14067213114754132,51,2,3.751479202625528E8,1426.112593485009,146,53,12,4.9132282161458125,0.424
70,146,125,0.14140983606557408,51,2,3.751479202625528E8,1426.112593485009,146,53,12,4.91978559319499,0.424
71,146,127,0.14175409836065597,51,2,3.8098897408786577E8,1471.6688902275137,146,53,12,4.923064281719585,0.41732283464566927
72,146,128,0.14175409836065606,51,2,3.839166247555465E8,1475.2585878965588,146,53,12,4.923064281719583,0.4140625
73,146,130,0.14229508196721335,51,2,3.874703446987898E8,1477.1250920838575,146,53,12,4.927982314506469,0.4076923076923077
74,146,131,0.1428360655737708,51,2,3.9031127981643784E8,1431.562165607492,146,53,12,4.932900347293352,0.40458015267175573
75,146,132,0.14322950819672164,51,2,3.9280709877449423E8,1432.8897564606707,146,53,12,4.936179035817943,0.4015151515151515
76,146,135,0.14421311475409865,51,2,3.996761613444E8,1384.542720061623,146,53,12,4.944375757129418,0.3925925925925926
77,146,135,0.14460655737704944,51,2,3.996761613444E8,1386.7012192458433,146,53,12,4.947654445654013,0.3925925925925926
78,146,135,0.14514754098360688,51,2,3.996761613444E8,1386.7012192458433,146,53,12,4.952572478440892,0.3925925925925926
79,146,136,0.14642622950819703,51,2,4.0176792924266577E8,1386.7012192458433,146,53,12,4.964047888276959,0.3897058823529412
80,146,136,0.1468196721311478,51,2,4.0176792924266577E8,1387.3161547130974,146,53,12,4.967326576801551,0.3897058823529412
81,146,136,0.14721311475409862,51,2,4.0176792924266577E8,1387.3161547130974,146,53,12,4.970605265326139,0.3897058823529412
82,146,136,0.14760655737704953,51,2,4.0176792924266577E8,1387.3161547130974,146,53,12,4.973883953850732,0.3897058823529412
83,146,137,0.1479508196721313,51,2,4.049272023457016E8,1439.6323094261945,146,53,12,4.977162642375319,0.38686131386861317
84,146,138,0.14834426229508219,51,2,4.082412253548382E8,1441.1928719880927,146,53,12,4.980441330899915,0.38405797101449274
85,146,139,0.14908196721311517,51,2,4.115589455416993E8,1442.8006900896257,146,53,12,4.986998707949091,0.381294964028777
86,146,141,0.14967213114754127,52,2,4.180503395382266E8,1444.4579431524953,146,54,12,4.9919167407359755,0.3829787234042553
87,146,143,0.15040983606557404,52,2,4.250134356930758E8,1447.9301632042402,146,54,12,4.998474117785154,0.3776223776223776
88,146,143,0.1508032786885249,52,2,4.250134356930758E8,1451.6298914851127,146,54,12,5.001752806309746,0.3776223776223776
89,146,144,0.15154098360655763,52,2,4.2865630090575767E8,1451.6298914851127,146,54,12,5.008310183358928,0.375
90,147,145,0.15247540983606586,52,2,4.3245666535777205E8,1453.5721751823987,147,54,12,5.016506904670404,0.3724137931034483
91,147,146,0.15301639344262338,52,3,4.349306969066186E8,1455.580245690196,147,55,12,5.02142493745729,0.3767123287671233
92,147,147,0.15360655737704945,52,4,4.361980595558485E8,1457.6575029716662,147,56,12,5.026342970244177,0.38095238095238093
93,147,147,0.1536065573770495,52,4,4.361980595558485E8,1396.853562155978,147,56,12,5.0263429702441735,0.38095238095238093
94,147,148,0.15380327868852492,52,4,4.397034635700789E8,1396.853562155978,147,56,12,5.0279823145064695,0.3783783783783784
95,147,150,0.1543934426229511,52,4,4.4428666187033844E8,1397.9472451161862,147,56,12,5.032900347293355,0.37333333333333335
96,147,150,0.15518032786885266,52,4,4.4428666187033844E8,1399.3631821800514,147,56,12,5.039457724342535,0.37333333333333335
97,147,150,0.1555737704918037,52,4,4.4428666187033844E8,1463.726364360103,147,56,12,5.042736412867122,0.37333333333333335
98,147,151,0.15616393442622986,52,4,4.4680719866976655E8,1463.726364360103,147,56,12,5.0476544456540084,0.3708609271523179
99,147,152,0.156754098360656,52,4,4.4933181689450806E8,1466.0965300473529,147,56,12,5.052572478440893,0.3684210526315789
100,147,152,0.156754098360656,52,4,4.4933181689450806E8,1468.555613974373,147,56,12,5.052572478440895,0.3684210526315789
101,147,152,0.15714754098360678,52,4,4.4933181689450806E8,1468.555613974373,147,56,12,5.0558511669654855,0.3684210526315789
102,147,152,0.15714754098360695,52,4,4.4933181689450806E8,1468.555613974373,147,56,12,5.055851166965483,0.3684210526315789
103,147,152,0.15744262295082004,52,4,4.4933181689450806E8,1468.555613974373,147,56,12,5.059129855490078,0.3684210526315789
104,147,152,0.15763934426229545,52,4,4.4933181689450806E8,1468.5556139743728,147,56,12,5.060769199752372,0.3684210526315789
105,148,153,0.1581803278688527,52,4,4.518624276206004E8,1468.555613974373,148,56,12,5.065687232539254,0.3660130718954248
106,148,153,0.1585737704918036,52,4,4.518624276206004E8,1470.9610457865865,148,56,12,5.068965921063846,0.3660130718954248
107,148,154,0.15936065573770525,52,4,4.528526156048845E8,1470.9610457865865,148,56,12,5.075523298113025,0.36363636363636365
108,148,154,0.15936065573770533,52,4,4.528526156048845E8,1472.4239853417318,148,56,12,5.075523298113028,0.36363636363636365
109,148,154,0.15936065573770533,52,4,4.528526156048845E8,1472.4239853417318,148,56,12,5.075523298113027,0.36363636363636365
110,148,154,0.15955737704918063,52,4,4.528526156048845E8,1472.4239853417318,148,56,12,5.0771626423753204,0.36363636363636365
111,148,154,0.15975409836065604,52,4,4.528526156048845E8,1472.4239853417318,148,56,12,5.078801986637619,0.36363636363636365
