tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,15,0,0.002448979591836735,0,0,0,1080,15,0,1,3.735287451165714,0
1,35,0,0.006530612244897959,0,0,0,1080,35,0,1,3.7744030974242175,0
2,53,0,0.010306122448979589,0,0,0,1080,53,0,1,3.8101173831385027,0
3,66,0,0.013673469387755101,0,0,0,1080,66,0,1,3.8424303083085722,0
4,77,0,0.017159863945578228,0,0,0,1080,77,0,2,3.876443913750748,0
5,84,0,0.0202721088435374,0,0,0,1080,84,0,2,3.9053554783765976,0
6,90,0,0.02267006802721086,0,0,0,1080,90,0,2,3.9257636416419044,0
7,99,0,0.026190476190476156,0,0,0,1080,99,0,2,3.9563758865398646,0
8,102,0,0.02972789115646256,0,0,0,1080,102,0,3,3.988688811709935,0
9,105,0,0.031972789115646244,0,0,0,1080,105,0,3,4.009096974975242,0
10,108,3,0.03595238095238093,3,0,8699400,1080,108,3,3,4.044811260689527,1
11,109,3,0.039829931972789084,3,0,8699400,1090.981887511916,109,3,3,4.0788248661317015,1
12,110,7,0.04176870748299319,7,0,1.9517735340609897E7,1090.981887511916,110,7,3,4.095831668852789,1
13,116,9,0.04482993197278908,9,0,2.537710530719017E7,1091.1303475940915,116,9,3,4.123042553206529,1
14,118,10,0.047687074829931946,10,0,2.7587922489558734E7,1091.2170487409435,118,10,3,4.148552757288163,1
15,122,10,0.05081632653061223,10,0,2.7587922489558734E7,1080,122,10,4,4.177464321914015,1
16,123,11,0.05414965986394556,11,0,3.0681611582661554E7,1091.2483573554919,123,11,4,4.2063758865398695,1
17,123,17,0.05746598639455781,17,0,4.689371469572902E7,1102.5849241895012,123,17,4,4.235287451165717,1
18,124,19,0.06098639455782313,19,0,5.2100293963554814E7,1091.5260519550943,124,19,4,4.265899696063677,1
19,124,19,0.06297619047619049,19,0,5.2100293963554814E7,1091.6190532127325,124,19,4,4.282906498784766,1
20,124,25,0.06746598639455788,25,0,7.126905108896719E7,1103.2381064254653,124,25,4,4.3203214647711565,1
21,125,29,0.0712585034013606,29,0,7.991639611772195E7,1115.7165926423309,125,29,5,4.352634389941226,1
22,126,38,0.07280612244897959,37,0,1.0287787784554091E8,1128.3132855494075,126,37,6,4.366239832118097,0.9736842105263158
23,126,46,0.07455782312925179,45,0,1.2319122727697878E8,1117.58774275044,126,45,6,4.381545954567074,0.9782608695652174
24,126,56,0.07741496598639461,54,0,1.4135160800535193E8,1131.7723508615306,126,54,6,4.405355478376605,0.9642857142857143
25,126,58,0.07884353741496604,56,0,1.4626548955997014E8,1093.431587587496,126,56,6,4.417260240281362,0.9655172413793104
26,126,58,0.08027210884353754,56,0,1.4626548955997014E8,1093.5580501837171,126,56,6,4.429165002186123,0.9655172413793104
27,126,59,0.08231292517006812,57,0,1.4892755022330365E8,1107.1161003674342,126,57,6,4.446171804907213,0.9661016949152542
28,126,61,0.0853741496598641,58,0,1.5097864111104396E8,1107.2443574387457,126,58,6,4.471682008988844,0.9508196721311475
29,127,64,0.08838435374149672,58,0,1.5714540667964342E8,1093.6890252016435,127,58,6,4.497192213070479,0.90625
30,128,65,0.08996598639455795,58,0,1.5781508980415738E8,1093.887046165113,128,58,6,4.510797655247348,0.8923076923076924
31,128,66,0.0911904761904763,58,0,1.59985951999914E8,1093.9088917896715,128,58,6,4.5210017368800015,0.8787878787878788
32,128,69,0.09195578231292531,59,0,1.665821488808386E8,1107.9527808725288,128,59,6,4.527804457968437,0.855072463768116
33,128,72,0.09318027210884368,60,0,1.734135611837954E8,1108.3657504594444,128,60,6,4.538008539601093,0.8333333333333334
34,129,76,0.09414965986394572,60,0,1.7992682759692487E8,1108.7911053076782,129,60,6,4.546511940961633,0.7894736842105263
35,129,77,0.09517006802721106,60,0,1.807594337478322E8,1094.6539511687752,129,60,6,4.555015342322176,0.7792207792207793
36,130,77,0.09593537414966001,60,0,1.807594337478322E8,1080,130,60,6,4.561818063410614,0.7792207792207793
37,131,77,0.09741496598639467,60,0,1.807594337478322E8,1080,131,60,6,4.575423505587489,0.7792207792207793
38,134,77,0.09909863945578248,60,0,1.807594337478322E8,1080,134,60,6,4.590729628036462,0.7792207792207793
39,134,77,0.0994557823129254,60,0,1.807594337478322E8,1080,134,60,6,4.594130988580682,0.7792207792207793
40,135,79,0.1008333333333335,60,0,1.837710137478322E8,1080,135,60,6,4.606035750485444,0.759493670886076
41,135,80,0.10282312925170076,60,0,1.8538781614147022E8,1094.8382553837898,135,60,6,4.623042553206535,0.75
42,135,81,0.10501700680272129,60,0,1.8711831888252708E8,1109.8302010946602,135,60,6,4.641750036199733,0.7407407407407407
43,135,82,0.10598639455782334,60,0,1.8772451136214244E8,1109.9854915884112,135,60,6,4.650253437560275,0.7317073170731707
44,135,84,0.10721088435374174,61,0,1.9122966639339256E8,1095.0187539050744,135,61,6,4.660457519192927,0.7261904761904762
45,135,84,0.10823129251700693,61,0,1.9122966639339256E8,1095.1770457910059,135,61,6,4.668960920553472,0.7261904761904762
46,135,84,0.10945578231292531,61,0,1.9122966639339256E8,1095.1770457910059,135,61,6,4.679165002186123,0.7261904761904762
47,136,84,0.11103741496598657,61,0,1.9122966639339256E8,1095.1770457910059,136,61,6,4.692770444362993,0.7261904761904762
48,136,85,0.11205782312925192,62,0,1.9302767330831996E8,1095.1770457910059,136,62,6,4.7012738457235415,0.7294117647058823
49,136,85,0.11246598639455806,62,0,1.9302767330831996E8,1095.2574496144266,136,62,6,4.704675206267758,0.7294117647058823
50,136,85,0.11307823129251716,62,0,1.9302767330831996E8,1110.5148992288532,136,62,6,4.709777247084085,0.7294117647058823
51,136,85,0.11430272108843553,62,0,1.9302767330831996E8,1110.5148992288532,136,62,6,4.719981328716737,0.7294117647058823
52,136,85,0.11471088435374167,62,0,1.9302767330831996E8,1125.77234884328,136,62,6,4.723382689260956,0.7294117647058823
53,136,85,0.11511904761904786,62,0,1.9302767330831996E8,1141.0297984577066,136,62,6,4.726784049805173,0.7294117647058823
54,136,86,0.11552721088435393,62,0,1.9461855410481963E8,1141.0297984577066,136,62,6,4.730185410349392,0.7209302325581395
55,136,86,0.11593537414966006,62,0,1.9461855410481963E8,1141.3548395595055,136,62,6,4.7335867708936075,0.7209302325581395
56,136,87,0.11654761904761932,63,0,1.9642212852179858E8,1156.6935494493819,136,63,6,4.738688811709935,0.7241379310344828
57,136,88,0.11690476190476204,63,0,1.9822634324857113E8,1157.1042018743265,136,63,6,4.742090172254155,0.7159090909090909
58,136,90,0.11710884353741528,63,0,2.017405717693405E8,1157.519275615731,136,63,6,4.743790852526263,0.7
59,136,92,0.11731292517006822,64,0,2.0525736176378077E8,1158.362975770849,136,64,6,4.745491532798371,0.6956521739130435
60,136,94,0.11843537414966006,64,0,2.0858549743713838E8,1159.2252432454159,136,64,6,4.7556956144310245,0.6808510638297872
61,136,94,0.11863945578231315,64,0,2.0858549743713838E8,1160.1066977755343,136,64,6,4.757396294703132,0.6808510638297872
62,136,95,0.11904761904761932,64,0,2.1049010260821137E8,1160.1066977755343,136,64,6,4.760797655247351,0.6736842105263158
63,136,97,0.11945578231292547,65,0,2.1449227590993932E8,1160.5548214377059,136,65,6,4.764199015791566,0.6701030927835051
64,136,98,0.12006802721088466,65,0,2.150310769012797E8,1161.4662799986063,136,65,6,4.769301056607895,0.6632653061224489
65,136,99,0.12068027210884377,66,0,2.171298042610591E8,1161.60363070675,136,66,6,4.774403097424225,0.6666666666666666
66,136,101,0.12170068027210912,67,0,2.209310762615777E8,1162.0687074075743,136,67,6,4.782906498784766,0.6633663366336634
67,136,101,0.12190476190476209,67,0,2.209310762615777E8,1163.0149476083693,136,67,6,4.784607179056876,0.6633663366336634
68,136,103,0.12272108843537438,67,0,2.2462510248891878E8,1163.0149476083693,136,67,6,4.791409900145311,0.6504854368932039
69,136,103,0.12312925170068045,67,0,2.2462510248891878E8,1163.9832623477835,136,67,6,4.794811260689524,0.6504854368932039
70,136,103,0.12353741496598661,67,0,2.2462510248891878E8,1180.7799148173403,136,67,6,4.798212621233743,0.6504854368932039
71,136,106,0.12455782312925195,68,0,2.308011718333709E8,1180.7799148173403,136,68,6,4.806716022594288,0.6415094339622641
72,136,108,0.1253741496598642,68,0,2.3318918381500545E8,1182.5746128636636,136,68,6,4.813518743682726,0.6296296296296297
73,136,111,0.12598639455782334,69,0,2.3941327183608E8,1166.050868076356,136,69,6,4.818620784499052,0.6216216216216216
74,136,114,0.12659863945578256,70,0,2.4497359946946996E8,1167.6216851746037,136,70,6,4.823722825315375,0.6140350877192983
75,136,116,0.1272108843537417,70,0,2.4929427496061316E8,1169.0139315863614,136,70,6,4.828824866131703,0.603448275862069
76,136,117,0.1276190476190479,70,0,2.5140840406890193E8,1170.1281905569504,136,70,6,4.832226226675922,0.5982905982905983
77,136,117,0.12823129251700702,70,0,2.5140840406890193E8,1170.6958469861092,136,70,6,4.837328267492251,0.5982905982905983
78,136,118,0.1288435374149663,70,0,2.5352355879044408E8,1170.6958469861092,136,70,6,4.842430308308573,0.5932203389830508
79,136,119,0.12945578231292534,70,0,2.538723597151592E8,1171.2706993040533,136,70,6,4.8475323491249,0.5882352941176471
80,136,121,0.13027210884353763,70,0,2.5822927671215308E8,1153.0811160497203,136,70,6,4.85433507021334,0.5785123966942148
81,136,122,0.1306292517006804,71,0,2.597430627914506E8,1154.0202624718972,136,71,6,4.857736430757554,0.5819672131147541
82,136,126,0.1312414965986397,72,0,2.682771189985344E8,1154.4989457635024,136,72,6,4.862838471573882,0.5714285714285714
83,137,130,0.13164965986394586,73,0,2.725051398791223E8,1156.47723513591,137,73,6,4.8662398321181,0.5615384615384615
84,137,132,0.13226190476190508,73,0,2.742789294069075E8,1099.3847164830804,137,73,6,4.871341872934423,0.553030303030303
85,137,132,0.1326700680272112,73,0,2.742789294069075E8,1080,137,73,6,4.874743233478645,0.553030303030303
86,137,132,0.13307823129251728,73,0,2.742789294069075E8,1080,137,73,6,4.878144594022861,0.553030303030303
87,137,132,0.13348639455782335,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.881545954567077,0.553030303030303
88,137,132,0.13369047619047641,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.883246634839187,0.553030303030303
89,137,132,0.1340476190476193,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.886647995383403,0.553030303030303
90,137,132,0.13425170068027242,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.888348675655512,0.553030303030303
91,137,132,0.13465986394557847,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.891750036199729,0.553030303030303
92,137,132,0.1346598639455785,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.891750036199731,0.553030303030303
93,137,132,0.13506802721088465,73,0,2.742789294069075E8,1099.5357243528108,137,73,6,4.895151396743948,0.553030303030303
94,137,132,0.1356802721088438,73,0,2.742789294069075E8,1119.0714487056216,137,73,6,4.900253437560276,0.553030303030303
95,137,132,0.13603741496598662,73,0,2.742789294069075E8,1119.0714487056216,137,73,6,4.903654798104494,0.553030303030303
96,137,132,0.1362414965986397,73,0,2.742789294069075E8,1119.0714487056216,137,73,6,4.9053554783766025,0.553030303030303
97,137,132,0.13726190476190503,73,0,2.742789294069075E8,1119.0714487056216,137,73,6,4.913858879737142,0.553030303030303
98,137,133,0.13726190476190506,73,0,2.757468713797471E8,1119.0714487056216,137,73,6,4.913858879737148,0.5488721804511278
99,137,133,0.13767006802721124,73,0,2.757468713797471E8,1119.3382896721305,137,73,6,4.917260240281365,0.5488721804511278
100,137,134,0.13807823129251726,73,0,2.772151633812245E8,1119.3382896721305,137,73,6,4.920661600825584,0.5447761194029851
101,137,134,0.13848639455782347,73,0,2.772151633812245E8,1119.6088005173242,137,73,6,4.9240629613698,0.5447761194029851
102,137,135,0.13848639455782336,73,0,2.7880379023640645E8,1139.4132007759863,137,73,6,4.924062961369798,0.5407407407407407
103,137,135,0.13869047619047634,73,0,2.7880379023640645E8,1139.8245862102283,137,73,6,4.92576364164191,0.5407407407407407
104,137,138,0.1395068027210887,73,0,2.84041569166189E8,1139.8245862102283,137,73,6,4.932566362730341,0.5289855072463768
105,137,138,0.13971088435374174,73,0,2.84041569166189E8,1161.4581993460358,137,73,6,4.934267043002453,0.5289855072463768
106,137,138,0.13971088435374177,73,0,2.84041569166189E8,1161.4581993460358,137,73,6,4.9342670430024524,0.5289855072463768
107,137,139,0.1399149659863948,73,0,2.856609322606272E8,1161.4581993460358,137,73,6,4.935967723274562,0.5251798561151079
108,137,141,0.140527210884354,73,0,2.881910070192625E8,1162.0382941130383,137,73,6,4.941069764090889,0.5177304964539007
109,137,141,0.1407312925170071,73,0,2.881910070192625E8,1142.170368327564,137,73,6,4.942770444362997,0.5177304964539007
110,137,142,0.14093537414966018,73,0,2.8987770711069024E8,1142.170368327564,137,73,6,4.944471124635108,0.5140845070422535
111,137,143,0.14134353741496633,73,0,2.900866756118376E8,1142.6209665399267,137,73,6,4.947872485179328,0.5104895104895105
112,137,143,0.1413435374149663,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.947872485179327,0.5104895104895105
113,137,143,0.14134353741496633,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.947872485179325,0.5104895104895105
114,137,143,0.1415476190476192,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.949573165451433,0.5104895104895105
115,137,143,0.1415476190476193,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.949573165451435,0.5104895104895105
116,137,143,0.1415476190476193,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.949573165451435,0.5104895104895105
117,137,143,0.14175170068027237,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.951273845723542,0.5104895104895105
118,137,143,0.1419557823129255,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.952974525995646,0.5104895104895105
119,137,143,0.14195578231292538,73,0,2.900866756118376E8,1121.7828305203864,137,73,6,4.952974525995647,0.5104895104895105
120,137,145,0.14256802721088463,73,0,2.9441787912047684E8,1121.7828305203864,137,73,6,4.958076566811978,0.503448275862069
121,137,145,0.14292517006802755,73,0,2.9441787912047684E8,1122.3979367022068,137,73,6,4.961477927356192,0.503448275862069
122,137,146,0.14333333333333356,73,0,2.967235650819473E8,1122.3979367022068,137,73,6,4.964879287900409,0.5
123,137,146,0.14374149659863972,73,0,2.967235650819473E8,1122.7123316210386,137,73,6,4.968280648444626,0.5
124,137,147,0.14430272108843564,73,0,2.991225206565386E8,1122.7123316210386,137,73,6,4.973382689260956,0.4965986394557823
125,137,147,0.14486394557823168,73,0,2.991225206565386E8,1123.0314240610774,137,73,6,4.978484730077282,0.4965986394557823
126,137,147,0.1452721088435377,73,0,2.991225206565386E8,1123.0314240610774,137,73,6,4.981886090621501,0.4965986394557823
127,137,147,0.14588435374149702,73,0,2.991225206565386E8,1123.0314240610774,137,73,6,4.986988131437826,0.4965986394557823
128,137,149,0.14629251700680299,73,0,3.0308927146716994E8,1123.0314240610774,137,73,6,4.990389491982044,0.4899328859060403
129,137,149,0.14670068027210914,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,4.993790852526261,0.4899328859060403
130,137,149,0.14710884353741532,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,4.9971922130704804,0.4899328859060403
131,137,149,0.14751700680272128,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.000593573614701,0.4899328859060403
132,137,149,0.1475170068027213,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.000593573614699,0.4899328859060403
133,137,149,0.1475170068027213,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.0005935736146965,0.4899328859060403
134,137,149,0.1475170068027213,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.000593573614699,0.4899328859060403
135,137,149,0.14767006802721117,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.002294253886808,0.4899328859060403
136,137,149,0.14843537414966007,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.009096974975241,0.4899328859060403
137,137,149,0.14914965986394585,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.015899696063678,0.4899328859060403
138,137,149,0.1499149659863948,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.022702417152111,0.4899328859060403
139,137,149,0.1499149659863948,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.022702417152113,0.4899328859060403
140,137,149,0.15011904761904793,73,0,3.0308927146716994E8,1101.7807449197387,137,73,6,5.024403097424222,0.4899328859060403
141,137,149,0.15011904761904782,73,0,3.0308927146716994E8,1123.5614898394774,137,73,6,5.02440309742422,0.4899328859060403
142,137,149,0.15011904761904785,73,0,3.0308927146716994E8,1123.5614898394774,137,73,6,5.024403097424221,0.4899328859060403
143,137,149,0.1504761904761907,73,0,3.0308927146716994E8,1123.5614898394774,137,73,6,5.0278044579684416,0.4899328859060403
144,137,149,0.15068027210884385,73,0,3.0308927146716994E8,1145.3422347592161,137,73,6,5.029505138240547,0.4899328859060403
145,137,149,0.1506802721088438,73,0,3.0308927146716994E8,1167.1229796789548,137,73,6,5.029505138240544,0.4899328859060403
146,137,149,0.15068027210884377,73,0,3.0308927146716994E8,1167.1229796789548,137,73,6,5.029505138240549,0.4899328859060403
147,137,149,0.15083333333333362,73,0,3.0308927146716994E8,1167.1229796789548,137,73,6,5.031205818512655,0.4899328859060403
148,137,151,0.15139455782312952,73,0,3.062330631033077E8,1167.1229796789548,137,73,6,5.036307859328983,0.48344370860927155
149,137,151,0.15139455782312952,73,0,3.062330631033077E8,1168.4609980355926,137,73,6,5.036307859328981,0.48344370860927155
150,137,151,0.1515986394557827,73,0,3.062330631033077E8,1168.4609980355926,137,73,6,5.0380085396010905,0.48344370860927155
151,137,151,0.15159863945578259,73,0,3.062330631033077E8,1168.4609980355926,137,73,6,5.0380085396010905,0.48344370860927155
152,137,151,0.15180272108843562,73,0,3.062330631033077E8,1168.4609980355926,137,73,6,5.039709219873201,0.48344370860927155
153,137,152,0.1520068027210888,73,0,3.082477819791706E8,1168.4609980355926,137,73,6,5.041409900145311,0.48026315789473684
154,137,154,0.15241496598639478,73,0,3.1168638515035975E8,1169.1455382512286,137,73,6,5.044811260689526,0.474025974025974
155,137,154,0.1524149659863949,73,0,3.1168638515035975E8,1170.546901492642,137,73,6,5.044811260689529,0.474025974025974
156,138,154,0.1525680272108846,73,0,3.1168638515035975E8,1170.546901492642,138,73,6,5.046511940961639,0.474025974025974
157,138,155,0.1529761904761907,73,0,3.130142242917405E8,1170.546901492642,138,73,6,5.049913301505854,0.47096774193548385
158,138,156,0.15318027210884377,73,0,3.152270352496468E8,1171.2642360229345,138,73,6,5.051613981777965,0.46794871794871795
159,138,156,0.15318027210884372,73,0,3.152270352496468E8,1171.9930271113685,138,73,6,5.051613981777962,0.46794871794871795
160,138,156,0.15318027210884383,73,0,3.152270352496468E8,1171.9930271113685,138,73,6,5.051613981777962,0.46794871794871795
161,138,156,0.15318027210884388,73,0,3.152270352496468E8,1171.9930271113685,138,73,6,5.051613981777962,0.46794871794871795
162,138,157,0.15338435374149692,73,0,3.1665320426451296E8,1171.9930271113685,138,73,6,5.053314662050072,0.46496815286624205
163,138,157,0.15338435374149692,73,0,3.1665320426451296E8,1172.733551426517,138,73,6,5.053314662050073,0.46496815286624205
