tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,19,0,0.0031034482758620693,0,0,0,1080,19,0,1,3.706059508839865,0
1,37,0,0.006453201970443349,0,0,0,1080,37,0,1,3.73890023133576,0
2,53,0,0.009950738916256155,0,0,0,1080,53,0,3,3.771740953831657,0
3,70,0,0.013448275862068962,0,0,0,1080,70,0,6,3.8062237124523417,0
4,80,0,0.016699507389162548,0,0,0,1080,80,0,6,3.835780362698649,0
5,85,0,0.01911330049261082,0,0,0,1080,85,0,6,3.858768868445778,0
6,95,0,0.022676518883415417,0,0,0,1080,95,0,8,3.891609590941673,0
7,104,0,0.02646962233169127,0,0,0,1080,104,0,9,3.9260923495623614,0
8,111,0,0.03050903119868635,0,0,0,1080,111,0,9,3.962217144307846,0
9,115,0,0.03420361247947453,0,0,0,1080,115,0,10,3.9950578668037418,0
10,121,0,0.036863711001642,0,0,0,1080,121,0,10,4.01968840867566,0
11,121,0,0.03967159277504102,0,0,0,1080,121,0,10,4.044318950547584,0
12,122,0,0.042972085385878454,0,0,0,1080,122,0,10,4.073875600793891,0
13,129,1,0.046814449917898175,1,0,1913625,1080,129,1,10,4.108358359414578,1
14,130,9,0.04947454844006567,9,0,1.7622781429391503E7,1146.130884041332,130,9,10,4.131346865161706,1
15,132,22,0.05303776683087025,22,0,4.148047605505486E7,1173.9258051365673,132,22,10,4.162545551532807,1
16,135,24,0.05732348111658457,24,0,4.381922343689377E7,1131.5589233881062,135,24,10,4.200312382403087,1
17,138,27,0.06078817733990151,27,0,4.838824188809962E7,1106.0690467592108,138,27,11,4.231511068774184,1
18,139,27,0.06364532019704443,27,0,4.838824188809962E7,1080,139,27,11,4.256141610646106,1
19,142,27,0.06625615763546804,27,0,4.838824188809962E7,1080,142,27,11,4.279130116393232,1
20,142,27,0.069113300492611,27,0,4.838824188809962E7,1080,142,27,11,4.303760658265154,1
21,143,29,0.07231527093596075,28,1,5.123792313809962E7,1080,143,29,11,4.331675272386665,1
22,143,31,0.07399014778325134,30,1,5.465542669159976E7,1134.5587064218732,143,31,11,4.34645359750982,1
23,143,34,0.07591133004926115,33,1,5.9746375523138314E7,1135.6122241336705,143,34,11,4.362873958757764,1
24,144,38,0.07857142857142871,37,1,6.726443570012262E7,1108.628490880384,144,38,11,4.385862464504892,1
25,145,41,0.08098522167487704,40,1,7.109488301726219E7,1139.6278937213497,145,41,11,4.4072089341272225,1
26,146,44,0.08285714285714295,43,1,7.545333291091692E7,1141.1421747418713,146,44,11,4.423629295375172,1
27,147,47,0.08472906403940902,44,1,7.90007961941394E7,1174.7299254756813,147,45,11,4.440049656623119,0.9574468085106383
28,149,48,0.08793103448275875,45,1,8.061576681832883E7,1177.4677597188725,149,46,11,4.46796427074463,0.9583333333333334
29,151,53,0.09103448275862083,45,1,8.869824636330362E7,1178.579837954857,151,46,11,4.494236848741346,0.8679245283018868
30,152,56,0.0933990147783253,45,2,9.352903368911485E7,1184.5439131992734,152,47,11,4.515583318363676,0.8392857142857143
31,152,59,0.09556650246305436,45,3,9.857480129918161E7,1188.3753847216926,152,48,11,4.535287751861213,0.8135593220338984
32,152,62,0.09763546798029571,45,5,1.0266786063350885E8,1192.613052387375,152,50,11,4.553350149233955,0.8064516129032258
33,152,67,0.10054187192118241,46,7,1.0902007857645434E8,1157.439590640338,152,53,11,4.577980691105877,0.7910447761194029
34,152,68,0.10266009852216772,47,7,1.1056365726673573E8,1244.5078883599049,152,54,11,4.596043088478619,0.7941176470588235
35,152,73,0.10502463054187214,50,8,1.1919765746090887E8,1246.8911268022875,152,58,11,4.615747521976154,0.7945205479452054
36,152,73,0.10640394088669962,50,8,1.1919765746090887E8,1259.9239902912036,152,58,11,4.627241774849721,0.7945205479452054
37,152,76,0.10738916256157657,50,8,1.2525200882178915E8,1304.9049878640046,152,58,11,4.635451955473694,0.7631578947368421
38,152,82,0.11009852216748789,51,9,1.3290225065578844E8,1315.9609885441942,152,60,11,4.658440461220821,0.7317073170731707
