tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,33,0,0.00529315960912052,0,0,0,1335,33,0,3,3.770740873931925,0
1,56,0,0.009641693811074915,0,0,0,1335,56,0,3,3.813086150804892,0
2,73,0,0.013648208469055368,0,0,0,1335,73,0,3,3.852174098687628,0
3,93,0,0.01895765472312702,0,0,0,1335,93,0,6,3.9026626980361616,0
4,104,0,0.022052117263843617,0,0,0,1335,104,0,7,3.9319786589482133,0
5,113,0,0.026840390879478798,0,0,0,1335,113,0,7,3.9743239358211766,0
6,120,0,0.030895765472312677,0,0,0,1335,120,0,7,4.010154554713687,0
7,123,1,0.03555374592833876,1,0,3384224.999999999,1335,123,1,7,4.050871167091537,1
8,125,3,0.039609120521172624,3,0,1.0847046724630775E7,1351.960457360648,125,3,7,4.085073121488932,1
9,130,7,0.043957654723127036,7,0,2.557167291510696E7,1352.123617123617,130,7,7,4.122532404876556,1
10,132,12,0.04786644951140064,12,0,4.1830168441185735E7,1369.9190779794017,132,12,7,4.156734359273948,1
11,135,13,0.05197068403908795,13,0,4.564182802093623E7,1352.811127438078,135,13,7,4.192564978166459,1
12,137,15,0.056123778501628654,15,0,5.381202802093623E7,1335,137,15,7,4.22839559705896,1
13,137,23,0.05985342019543981,22,0,8.795028614462382E7,1353.0819708159966,137,22,7,4.260968886961245,0.9565217391304348
14,141,27,0.06451140065146585,26,0,1.0384727885999797E8,1391.543479987235,141,26,8,4.301685499339093,0.9629629629629629
15,143,33,0.06706840390879486,32,0,1.2750359674923633E8,1412.0224364603446,143,32,8,4.324486802270692,0.9696969696969697
16,146,37,0.07053745928338771,36,0,1.4008248599215508E8,1434.5073860179457,146,36,8,4.355431427677856,0.972972972972973
17,147,46,0.07493485342019558,43,0,1.679525566964672E8,1416.0809188138767,147,43,8,4.392890711065476,0.9347826086956522
18,150,48,0.07786644951140073,45,0,1.7345118774222994E8,1377.4869703830527,150,45,8,4.418949342987304,0.9375
19,151,51,0.08192182410423461,46,0,1.8209666048808712E8,1356.471757410711,151,46,8,4.4531512973847,0.9019607843137255
20,151,56,0.08485342019543984,46,0,1.9800342815807334E8,1422.4697223327705,151,46,8,4.477581264811407,0.8214285714285714
21,152,61,0.08851791530944646,46,0,2.1498874104110417E8,1425.2412740113984,152,46,8,4.508525890218573,0.7540983606557377
22,152,68,0.09100977198697081,46,0,2.37269489979521E8,1451.4927636537216,152,46,8,4.5296985286550555,0.6764705882352942
23,152,70,0.09394136807817607,47,0,2.4265351496450767E8,1432.3024700682868,152,47,8,4.5557571605768805,0.6714285714285714
24,153,73,0.09657980456026077,49,0,2.5148982066750032E8,1433.6506372990466,153,49,8,4.578558463508477,0.6712328767123288
25,155,79,0.09995114006514681,51,0,2.6998268042906827E8,1435.7444227287908,155,51,8,4.607874424420531,0.6455696202531646
26,155,81,0.10327361563517941,51,0,2.7648514891323227E8,1413.8874720948124,155,51,8,4.635561720837468,0.6296296296296297
27,155,87,0.10644951140065163,51,0,2.9364143103558695E8,1415.0703461011187,155,51,8,4.663249017254405,0.5862068965517241
28,155,92,0.10933224755700344,52,0,3.0906027057665396E8,1390.6288398591803,155,52,8,4.687678984681114,0.5652173913043478
29,155,96,0.11182410423452799,52,0,3.2021752257828325E8,1392.871780825742,155,52,8,4.708851623117597,0.5416666666666666
30,157,97,0.11387622149837157,52,0,3.235707122490057E8,1394.5475860771162,157,52,8,4.726766932563854,0.5360824742268041
31,157,99,0.11543973941368103,53,0,3.292268337817936E8,1425.0747122166706,157,53,8,4.739796248524764,0.5353535353535354
32,158,101,0.11754071661237818,53,0,3.354882696376008E8,1426.6201539774888,158,53,8,4.757711557971019,0.5247524752475248
33,158,106,0.1189087947882738,53,0,3.484435184636016E8,1490.3659213552573,158,53,8,4.769112209436814,0.5
34,159,109,0.11998371335504912,53,0,3.5792895256315184E8,1464.1404799799761,159,53,8,4.778884196407501,0.48623853211009177
35,159,111,0.1217426710097723,53,0,3.642013819265003E8,1500.9402640221233,159,53,8,4.79354217686353,0.4774774774774775
36,162,117,0.12413680781758986,53,1,3.8244090247030085E8,1537.911598194818,162,54,8,4.814714815300008,0.46153846153846156
37,162,117,0.1259934853420199,53,1,3.8244090247030085E8,1549.173119241811,162,54,8,4.8310014602511435,0.46153846153846156
38,162,120,0.1265798045602609,53,1,3.911759151031458E8,1549.173119241811,162,54,8,4.835887453736491,0.45
39,162,126,0.12794788273615665,53,1,4.1057138172437215E8,1555.8153542410078,162,54,8,4.847288105202287,0.42857142857142855
40,162,131,0.12887622149837158,54,2,4.256843331410432E8,1568.1097168455722,162,56,8,4.85543142767786,0.42748091603053434
41,162,134,0.13004885993485382,54,2,4.367078598060064E8,1622.6579325771972,162,56,8,4.8652034146485414,0.417910447761194
42,162,137,0.13136807817589605,54,2,4.444313586556938E8,1632.9767997736901,162,56,8,4.876604066114344,0.40875912408759124
43,162,138,0.13214983713355083,54,2,4.4860623087197345E8,1596.8147700438344,162,56,8,4.883118724094795,0.4057971014492754
44,162,139,0.13268729641693852,54,2,4.5278959747111493E8,1600.063721224516,162,56,8,4.88800471758014,0.4028776978417266
45,162,142,0.1330781758957658,54,2,4.6486075161186534E8,1603.3943203493914,162,56,8,4.891262046570368,0.39436619718309857
46,162,145,0.1342508143322479,54,2,4.751215751283319E8,1613.9079889059108,162,56,8,4.901034033541052,0.38620689655172413
47,162,147,0.13557003257329023,54,2,4.7938231085245967E8,1673.658753712807,162,56,8,4.912434685006846,0.38095238095238093
48,162,147,0.13615635179153115,54,2,4.7938231085245967E8,1630.2375936966885,162,56,8,4.917320678492191,0.38095238095238093
49,162,149,0.1366938110749189,54,2,4.844949610952469E8,1630.2375936966882,162,56,8,4.922206671977535,0.37583892617449666
50,163,154,0.13820846905537484,54,2,4.97068180576203E8,1587.4976459986276,163,56,8,4.935235987938446,0.36363636363636365
51,163,156,0.13957654723127072,54,2,5.0427428264743316E8,1603.49400783939,163,56,8,4.946636639404243,0.358974358974359
52,163,156,0.14074918566775282,54,2,5.0427428264743316E8,1611.8458565563035,163,56,8,4.956408626374926,0.358974358974359
53,163,156,0.1419218241042349,54,2,5.0427428264743316E8,1611.8458565563035,163,56,8,4.966180613345609,0.358974358974359
54,163,157,0.14265472312703617,54,2,5.0685638192184305E8,1667.2150278675645,163,56,8,4.972695271326065,0.35668789808917195
55,163,158,0.14319218241042383,55,2,5.1070221207705045E8,1672.463646535071,163,57,8,4.97758126481141,0.36075949367088606
56,163,159,0.14451140065146612,55,2,5.1456049891179574E8,1677.8807717961706,163,57,8,4.988981916277206,0.3584905660377358
57,163,163,0.1456351791530947,55,2,5.2338432841569805E8,1683.474650880692,163,57,8,4.998753903247893,0.3496932515337423
58,163,165,0.1460260586319221,55,2,5.286441718406769E8,1638.2421020415677,163,57,8,5.002011232238121,0.34545454545454546
59,164,169,0.14695439739413726,55,2,5.422473194643606E8,1583.8088272182233,164,57,8,5.010154554713689,0.33727810650887574
60,164,169,0.14788273615635228,55,2,5.422473194643606E8,1535.1277284441444,164,57,8,5.01829787718926,0.33727810650887574
61,164,169,0.1490553745928343,55,2,5.422473194643606E8,1535.1277284441444,164,57,8,5.028069864159944,0.33727810650887574
62,164,173,0.15022801302931635,55,2,5.524941960249547E8,1601.836971258859,164,57,8,5.037841851130629,0.32947976878612717
63,164,174,0.1508143322475573,55,2,5.54975994670188E8,1546.897174230271,164,57,8,5.042727844615973,0.3275862068965517
64,164,174,0.15198697068403944,55,2,5.54975994670188E8,1550.3514394944677,164,57,8,5.052499831586653,0.3275862068965517
65,164,174,0.1531596091205216,55,2,5.54975994670188E8,1550.3514394944677,164,57,8,5.062271818557338,0.3275862068965517
66,164,174,0.15394136807817618,55,2,5.54975994670188E8,1550.3514394944677,164,57,8,5.068786476537795,0.3275862068965517
67,164,175,0.15433224755700362,55,2,5.550765924017161E8,1622.1352526592902,164,57,8,5.072043805528021,0.32571428571428573
68,164,176,0.1551140065146584,56,2,5.588073587684815E8,1622.4250344707134,164,58,8,5.078558463508479,0.32954545454545453
69,164,177,0.1560912052117269,56,2,5.634066221335461E8,1628.346031178819,164,58,8,5.086701785984047,0.327683615819209
70,164,178,0.15706840390879523,56,2,5.663306882774106E8,1709.395132098077,164,58,8,5.094845108459622,0.3258426966292135
71,164,181,0.15843648208469097,57,2,5.783591529293157E8,1715.9548636629027,164,59,8,5.106245759925414,0.3259668508287293
72,164,182,0.1590228013029321,58,2,5.825453022922006E8,1820.4606927092414,164,60,8,5.1111317534107545,0.32967032967032966
73,164,185,0.15960912052117304,59,2,5.897693898993219E8,1831.7506225465638,164,61,8,5.1160177468961,0.32972972972972975
74,164,187,0.160390879478828,59,2,5.921380983411211E8,1855.191448777591,164,61,8,5.1225324048765595,0.32620320855614976
75,164,188,0.161123778501629,59,2,5.966112106047432E8,1860.3086977010473,164,61,8,5.129047062857009,0.324468085106383
76,164,191,0.16190553745928388,59,2,6.038624243183775E8,1873.5533973165352,164,61,8,5.135561720837466,0.3193717277486911
77,164,192,0.16249185667752486,59,2,6.062022023477001E8,1893.259073770983,164,61,8,5.1404477143228124,0.3177083333333333
78,164,193,0.16322475570032613,59,2,6.097701910902044E8,1898.3712383634936,164,61,8,5.146962372303265,0.3160621761658031
79,164,194,0.16356677524430016,59,2,6.105698981995573E8,1913.6327096266004,164,61,8,5.150219701293493,0.31443298969072164
80,164,195,0.1645439739413685,59,2,6.10789400005107E8,1916.7847667050462,164,61,8,5.1583630237690645,0.3128205128205128
81,164,195,0.16513029315960953,59,2,6.10789400005107E8,1917.578154100812,164,61,8,5.163249017254406,0.3128205128205128
82,164,197,0.16552117263843688,59,2,6.155025295610944E8,2014.674513117614,164,61,8,5.166506346244634,0.3096446700507614
83,164,200,0.16640065146579847,59,2,6.229577014489753E8,2037.6723537226364,164,61,8,5.174649668720208,0.305
84,164,201,0.16713355048859974,59,2,6.270574436238708E8,1962.0685211273146,164,61,8,5.18116432670066,0.3034825870646766
85,164,204,0.16825732899022852,59,2,6.292552526395632E8,1981.0342390524186,164,61,8,5.190936313671343,0.29901960784313725
86,164,207,0.16923452768729683,59,2,6.367153244308393E8,1992.835942029747,164,61,8,5.199079636146913,0.2946859903381642
87,164,208,0.1705048859934858,59,2,6.411638220314152E8,2027.112144258816,164,61,8,5.210480287612711,0.2932692307692308
88,164,211,0.1708957654723132,59,2,6.43516327964846E8,2050.289124101847,164,61,8,5.21373761660294,0.2890995260663507
89,164,212,0.1708957654723131,59,2,6.443361400626749E8,2065.5381653536588,164,61,8,5.213737616602941,0.28773584905660377
90,164,213,0.1710912052117268,59,2,6.455058048533924E8,2070.5696419144647,164,61,8,5.215366281098055,0.2863849765258216
91,165,216,0.17167752442996792,59,2,6.483696080027748E8,2075.670906271229,165,61,8,5.220252274583396,0.2824074074074074
92,166,218,0.17245928338762254,59,2,6.502054461683339E8,2091.4082542253905,166,61,8,5.22676693256385,0.2798165137614679
93,166,219,0.17265472312703617,59,2,6.512310949758563E8,2230.1561372524357,166,61,8,5.228395597058965,0.2785388127853881
94,166,222,0.17382736156351833,59,2,6.537006326319758E8,2236.633688858659,166,61,8,5.238167584029651,0.2747747747747748
95,166,224,0.17456026058631965,59,2,6.555767485145826E8,2253.186672199489,166,61,8,5.244682242010107,0.27232142857142855
96,166,225,0.17504885993485378,59,2,6.566805329389604E8,2400.0531080187984,166,61,8,5.24956823549545,0.27111111111111114
97,166,227,0.17573289902280162,59,2,6.58067483289462E8,2408.078993674435,166,61,8,5.256082893475906,0.2687224669603524
98,166,228,0.17627035830618945,59,2,6.591286821726635E8,2417.860294375659,166,61,8,5.260968886961249,0.2675438596491228
99,166,229,0.17680781758957687,59,2,6.604686409156914E8,2562.552577984116,166,61,8,5.265854880446589,0.2663755458515284
100,166,229,0.17714983713355092,59,2,6.604686409156914E8,2572.03148678971,166,61,8,5.26911220943682,0.2663755458515284
101,166,230,0.17754071661237816,59,2,6.614273656523923E8,2572.03148678971,166,61,8,5.272369538427042,0.26521739130434785
102,166,230,0.17807817589576588,59,2,6.614273656523923E8,2581.657923145433,166,61,8,5.2772555319123855,0.26521739130434785
103,166,230,0.17846905537459323,59,2,6.614273656523923E8,2720.1754701615923,166,61,8,5.280512860902615,0.26521739130434785
104,166,231,0.17846905537459326,59,2,6.624984347437685E8,2720.1754701615923,166,61,8,5.280512860902614,0.26406926406926406
105,166,233,0.1788110749185671,59,2,6.650104446798391E8,2731.039286878253,166,61,8,5.2837701898928415,0.26180257510729615
106,166,234,0.17881107491856718,59,2,6.663345000572658E8,2753.286291176263,166,61,8,5.283770189892846,0.2606837606837607
107,166,235,0.17915309446254116,59,2,6.670747425440594E8,2764.677821825102,166,61,8,5.287027518883073,0.25957446808510637
108,166,235,0.17915309446254105,59,2,6.670747425440594E8,2776.2538253629787,166,61,8,5.287027518883071,0.25957446808510637
109,166,235,0.1793485342019548,59,2,6.670747425440594E8,2776.253825362979,166,61,8,5.288656183378182,0.25957446808510637
110,166,235,0.17973941368078217,59,2,6.670747425440594E8,2776.2538253629787,166,61,8,5.291913512368411,0.25957446808510637
111,166,235,0.17973941368078217,59,2,6.670747425440594E8,2776.2538253629787,166,61,8,5.2919135123684145,0.25957446808510637
112,166,235,0.17988599348534245,59,2,6.670747425440594E8,2776.2538253629787,166,61,8,5.293542176863526,0.25957446808510637
113,166,235,0.17988599348534234,59,2,6.670747425440594E8,2776.253825362979,166,61,8,5.293542176863525,0.25957446808510637
114,166,236,0.18008143322475603,59,2,6.684098430086764E8,2776.2538253629787,166,61,8,5.295170841358642,0.2584745762711864
115,166,236,0.1803745928338766,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.2984281703488705,0.2584745762711864
116,166,236,0.18096091205211773,59,2,6.684098430086764E8,2788.0188193614567,166,61,8,5.30331416383421,0.2584745762711864
117,166,236,0.18135179153094494,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.306571492824437,0.2584745762711864
118,166,236,0.1815472312703587,59,2,6.684098430086764E8,2788.0188193614567,166,61,8,5.308200157319553,0.2584745762711864
119,166,236,0.1817426710097724,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.309828821814672,0.2584745762711864
120,166,236,0.18193811074918612,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.311457486309775,0.2584745762711864
121,166,236,0.18193811074918606,59,2,6.684098430086764E8,2788.0188193614567,166,61,8,5.31145748630978,0.2584745762711864
122,166,236,0.18228013029316006,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.314714815300006,0.2584745762711864
123,166,236,0.18228013029315998,59,2,6.684098430086764E8,2788.0188193614563,166,61,8,5.31471481530001,0.2584745762711864
124,166,236,0.18306188925081487,59,2,6.684098430086764E8,2788.0188193614567,166,61,8,5.321229473280466,0.2584745762711864
125,166,236,0.18320846905537502,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.3228581377755795,0.2584745762711864
126,166,236,0.1833550488599353,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.32448680227069,0.2584745762711864
127,166,236,0.18355048859934894,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.326115466765808,0.2584745762711864
128,166,236,0.18369706840390926,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.32774413126092,0.2584745762711864
129,166,236,0.18369706840390934,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.327744131260918,0.2584745762711864
130,166,236,0.18369706840390926,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.327744131260922,0.2584745762711864
131,166,236,0.1836970684039092,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.3277441312609195,0.2584745762711864
132,166,236,0.1836970684039092,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.327744131260922,0.2584745762711864
133,166,236,0.18389250814332292,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.329372795756033,0.2584745762711864
134,166,236,0.18389250814332286,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.329372795756033,0.2584745762711864
135,166,236,0.18389250814332295,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.329372795756033,0.2584745762711864
136,166,236,0.18403908794788315,59,2,6.684098430086764E8,2933.3207012976027,166,61,8,5.331001460251147,0.2584745762711864
137,166,236,0.18423452768729673,59,2,6.684098430086764E8,3078.622583233748,166,61,8,5.33263012474626,0.2584745762711864
138,166,236,0.18442996742671047,59,2,6.684098430086764E8,3078.622583233748,166,61,8,5.334258789241374,0.2584745762711864
139,166,236,0.18442996742671053,59,2,6.684098430086764E8,3078.622583233748,166,61,8,5.334258789241378,0.2584745762711864
140,166,236,0.18442996742671053,59,2,6.684098430086764E8,3078.622583233748,166,61,8,5.334258789241378,0.2584745762711864
141,167,236,0.18482084690553782,59,2,6.684098430086764E8,3078.622583233748,167,61,8,5.337516118231606,0.2584745762711864
