tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,19,0,0.0030756302521008413,0,0,0,1335,19,0,1,3.6589453301259174,0
1,39,0,0.00665546218487395,0,0,0,1335,39,0,2,3.6942394477729747,0
2,58,0,0.010605042016806721,0,0,0,1335,58,0,4,3.734575582226757,0
3,70,0,0.013882352941176464,0,0,0,1335,70,0,4,3.7665083553360015,0
4,82,0,0.018016806722689065,0,0,0,1335,82,0,5,3.8034831452519664,0
5,91,0,0.021798319327731075,0,0,0,1335,91,0,5,3.8404579351679358,0
6,96,0,0.02537815126050418,0,0,0,1335,96,0,5,3.8740713805460856,0
7,101,0,0.029512605042016776,0,0,0,1335,101,0,5,3.9127268427309603,0
8,106,0,0.03329411764705881,0,0,0,1335,106,0,5,3.9480209603780168,0
9,113,0,0.03768067226890754,0,0,0,1335,113,0,5,3.988357094831802,0
10,117,0,0.041159663865546196,0,0,0,1335,117,0,5,4.020289867941041,0
11,119,0,0.04478991596638652,0,0,0,1335,119,0,5,4.053903313319193,0
12,121,1,0.049378151260504176,1,0,2365453.1249999995,1335,121,1,5,4.094239447772974,1
13,122,2,0.05295798319327729,2,0,4770905.457355738,1357.574508560558,122,2,5,4.12617222088222,1
14,124,5,0.05628571428571428,5,0,1.2497172697703537E7,1357.7185705169113,124,5,5,4.1564243217225565,1
15,127,8,0.05936134453781518,8,0,1.9351438255156558E7,1358.1620039037086,127,8,5,4.184995750293987,1
16,128,9,0.062285714285714326,9,0,2.163121896216264E7,1358.528540487796,128,9,5,4.210205834327598,1
17,129,18,0.0670756302521009,18,0,4.4971675081807226E7,1382.3701570028263,129,18,5,4.250541968781381,1
18,129,22,0.0700504201680673,21,1,5.57440218699138E7,1435.7744896472577,129,22,5,4.275752052814992,1
19,130,30,0.07489075630252114,28,2,7.609127403452231E7,1464.637827192298,130,30,5,4.317768859537684,1
20,130,34,0.07761344537815132,32,2,8.649877638154875E7,1472.658381565779,130,34,5,4.341298271302389,1
21,131,42,0.08139495798319339,38,2,1.0386624927774397E8,1420.1544608773459,131,40,5,4.373231044411635,0.9523809523809523
22,131,46,0.08315966386554628,41,2,1.1402792975254628E8,1455.6978028188455,131,43,5,4.388357094831802,0.9347826086956522
23,131,52,0.08573109243697492,46,2,1.2405965161167172E8,1459.9335340137482,131,48,5,4.410205834327599,0.9230769230769231
24,131,54,0.08991596638655473,48,2,1.2637848829131539E8,1433.375140038174,131,50,5,4.445499951974658,0.9259259259259259
25,131,62,0.09435294117647065,52,3,1.411359066189655E8,1467.852127579273,131,55,5,4.4841554141595354,0.8870967741935484
26,132,71,0.09868907563025225,53,7,1.569869533146491E8,1514.4592876652055,132,60,5,4.5211302040755,0.8450704225352113
27,132,75,0.10121008403361358,56,7,1.6389796107202238E8,1452.0564472471467,132,63,5,4.542978943571296,0.84
28,132,78,0.10438655462184891,58,8,1.6978379910171458E8,1456.817354868071,132,66,5,4.569869699873818,0.8461538461538461
29,132,80,0.1076134453781514,60,8,1.7407953139731598E8,1461.1334338780284,132,68,5,4.596760456176337,0.85
30,132,82,0.11038655462184899,61,8,1.7685015654680791E8,1507.2464581366414,132,69,5,4.620289867941045,0.8414634146341463
31,133,84,0.11235294117647075,62,8,1.7940092971749422E8,1555.6459207539715,133,70,5,4.637096590630122,0.8333333333333334
32,133,88,0.11452100840336159,65,9,1.8651666726478174E8,1561.255165624138,133,74,5,4.655583985588105,0.8409090909090909
