tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,25,0,0.003742038216560509,0,0,0,1845,25,0,2,3.6968083079540595,0
1,43,0,0.006799363057324837,0,0,0,1845,43,0,2,3.7270630850241235,0
2,65,0,0.01095541401273885,0,0,0,1845,65,0,4,3.768464358909472,0
3,84,0,0.015222929936305718,0,0,0,1845,84,0,5,3.8098656327948195,0
4,102,0,0.019538216560509532,0,0,0,1845,102,0,6,3.852859263368071,0
5,114,0,0.023407643312101892,0,0,0,1845,114,0,7,3.889483467189727,0
6,126,0,0.02880573248407641,0,0,0,1845,126,0,7,3.940438881202468,0
7,133,0,0.032579617834394864,0,0,0,1845,133,0,7,3.973878371648324,0
8,137,0,0.03517515923566876,0,0,0,1845,137,0,8,3.997763721966797,0
9,145,0,0.039904458598726066,0,0,0,1845,145,0,8,4.040757352540048,0
10,148,0,0.04329617834394903,0,0,0,1845,148,0,8,4.071012129610111,0
11,153,0,0.04775477707006366,0,0,0,1845,153,0,9,4.1108210468075645,0
12,154,0,0.051098726114649655,0,0,0,1845,154,0,9,4.1410758238776255,0
13,158,1,0.054920382165605075,1,0,3360378.017167748,1878.6180389477277,158,1,9,4.176107671011385,1
14,160,2,0.0586464968152866,2,0,6721169.754783846,1878.849329205366,160,2,9,4.209547161457243,1
15,160,2,0.061942675159235724,2,0,6721169.754783846,1879.0838240387943,160,2,9,4.23820958183941,1
16,164,2,0.06590764331210199,2,0,6721169.754783846,1879.0838240387943,164,2,9,4.273241428973168,1
17,166,8,0.06781847133757972,8,0,3.072133441752744E7,1913.167648077589,166,8,9,4.290757352540045,1
18,167,12,0.0711146496815287,12,0,4.523408477471301E7,1880.4989124957003,167,12,9,4.3194197729222115,1
19,169,16,0.07455414012738869,16,0,6.12165759120881E7,1991.2155633895297,169,16,9,4.349674549992277,1
20,170,22,0.07947452229299379,22,0,8.72951929416641E7,1957.8541313495493,170,22,9,4.392668180565522,1
21,171,33,0.08410828025477719,32,0,1.3217703396237445E8,2002.7070925887344,171,32,9,4.432477097762977,0.9696969696969697
22,171,43,0.08926751592356709,41,0,1.72633858357516E8,2017.5377745519054,171,41,9,4.477063085024122,0.9534883720930233
23,171,52,0.0923726114649683,43,0,2.0536552550435683E8,2174.9880572352813,171,43,9,4.504133148718392,0.8269230769230769
