tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,23,0,0.0037903225806451613,0,0,0,1335,23,0,1,3.7542452736481193,0
1,37,0,0.007338709677419356,0,0,0,1335,37,0,2,3.7881162413900555,0
2,59,0,0.011854838709677419,0,0,0,1335,59,0,5,3.8316646284868283,0
3,75,0,0.015338709677419345,0,0,0,1335,75,0,5,3.8655355962287654,0
4,82,0,0.018096774193548378,0,0,0,1335,82,0,5,3.8913420478416687,0
5,89,0,0.021387096774193527,0,0,0,1335,89,0,5,3.9219872091319883,0
6,97,0,0.02459677419354836,0,0,0,1335,97,0,5,3.9510194671965073,0
7,109,0,0.029435483870967723,0,0,0,1335,109,0,5,3.9929549510674716,0
8,113,0,0.0325322580645161,0,0,0,1335,113,0,6,4.020374305906184,0
9,116,0,0.036080645161290295,0,0,0,1335,116,0,6,4.052632370422312,0
10,121,0,0.039854838709677404,0,0,0,1335,121,0,6,4.0865033381642455,0
11,125,0,0.04454838709677417,0,0,0,1335,125,0,6,4.128438822035216,0
12,131,0,0.04740322580645159,0,0,0,1335,131,0,6,4.154245273648118,0
13,135,0,0.04987096774193546,0,0,0,1335,135,0,6,4.176825918809412,0
14,140,3,0.05509677419354843,3,0,6853501.612791341,1361.3411024787272,140,3,6,4.223600112357798,1
15,143,6,0.06119354838709681,6,0,1.3454650112365685E7,1361.9390843738174,143,6,6,4.276825918809411,1
16,148,16,0.0651774193548388,16,0,3.668086014441906E7,1390.1296941540845,148,16,7,4.312309789777155,1
17,149,27,0.07069354838709688,27,0,6.2234830922911905E7,1424.466881093391,149,27,7,4.360696886551344,1
18,152,32,0.07548387096774208,32,0,7.277773895426965E7,1400.0334350179385,152,32,7,4.402632370422316,1
19,153,35,0.07925806451612914,35,0,7.706645078647396E7,1403.1456143601056,153,35,7,4.434890434938444,1
20,154,44,0.08290322580645171,41,0,9.711185718924157E7,1404.5237185679243,154,41,7,4.467148499454574,0.9318181818181818
21,154,53,0.08706451612903236,45,0,1.1356422918763259E8,1487.4444213222728,154,45,7,4.502632370422313,0.8490566037735849
22,154,62,0.0910806451612905,47,0,1.291623588142975E8,1418.5043090798004,154,47,7,4.536503338164254,0.7580645161290323
23,154,68,0.09441935483870989,47,1,1.400720635462001E8,1427.062129849502,154,48,7,4.565535596228766,0.7058823529411765
24,154,70,0.09814516129032275,47,2,1.4301199013878238E8,1384.7227456741066,154,49,7,4.597793660744895,0.7
25,154,71,0.10100000000000024,48,2,1.4466780732628238E8,1335,154,50,7,4.621987209131994,0.704225352112676
26,155,73,0.10385483870967763,49,2,1.4814131789792696E8,1438.3066549252922,155,51,7,4.64618075751909,0.6986301369863014
27,156,77,0.10738709677419371,50,2,1.5576949505994296E8,1547.7881503044307,156,52,7,4.676825918809412,0.6753246753246753
28,156,83,0.1103870967741938,50,2,1.6807509825021893E8,1617.8943345611178,156,52,7,4.702632370422316,0.6265060240963856
29,157,87,0.11304838709677445,50,2,1.7652014743274727E8,1647.7140042735598,157,52,7,4.7252130155836065,0.5977011494252874
30,158,95,0.11541935483870994,51,3,1.9276350670101827E8,1738.620340615975,158,54,7,4.746180757519091,0.5684210526315789
31,159,99,0.11812903225806469,52,3,2.0254070904248568E8,1803.703879435935,159,55,7,4.768761402680378,0.5555555555555556
32,159,107,0.12016129032258085,52,3,2.199800190284744E8,1934.4349546025453,159,55,7,4.786503338164252,0.514018691588785
33,159,109,0.12141935483870989,52,3,2.224971673361531E8,1939.1525547979859,159,55,7,4.797793660744897,0.5045871559633027
34,159,114,0.12253225806451626,52,3,2.255527325267061E8,1852.1635759622145,159,55,7,4.807471080099733,0.4824561403508772
35,161,114,0.12374193548387125,52,3,2.255527325267061E8,1763.5915563438543,161,55,7,4.818761402680379,0.4824561403508772
