tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,20,0,0.003486088379705401,0,0,0,1590,20,0,1,3.73228593625984,0
1,40,0,0.007283142389525365,0,0,0,1590,40,0,4,3.769929144115814,0
2,51,0,0.009410801963993453,0,0,0,1590,51,0,6,3.79284240107162,0
3,71,0,0.013633387888707032,0,0,0,1590,71,0,6,3.8337589313498563,0
4,88,0,0.017970540098199667,0,0,0,1590,88,0,7,3.874675461628087,0
5,99,0,0.02230769230769229,0,0,0,1590,99,0,8,3.9155919919063216,0
6,103,0,0.024811783960720115,0,0,0,1590,103,0,9,3.938505248862134,0
7,108,0,0.028019639934533522,0,0,0,1590,108,0,10,3.9663284894513313,0
8,115,0,0.03211129296235676,0,0,0,1590,115,0,11,4.0039716973073025,0
9,120,2,0.036677577741407494,2,0,5336437.499999999,1590,120,2,12,4.0448882275855365,1
10,125,5,0.04081833060556463,5,0,1.2916553320917556E7,1622.072617246596,125,5,13,4.082531435441508,1
11,128,5,0.044762684124386234,5,0,1.2916553320917556E7,1590,128,5,14,4.1185379820863535,1
12,131,5,0.04721767594108018,5,0,1.2916553320917556E7,1590,131,5,14,4.139814577831033,1
13,134,5,0.05140752864157117,5,0,1.2916553320917556E7,1590,134,5,15,4.177457785687009,1
14,140,6,0.054991816693944345,6,0,1.5882897070917556E7,1590,140,6,15,4.210191009909597,1
15,143,10,0.05916530278232404,10,0,2.7994486926227197E7,1622.9936154518787,143,10,15,4.247834217765565,1
16,146,12,0.0634369885433716,12,0,3.119764399861333E7,1624.0535686098774,146,12,15,4.285477425621541,1
17,148,15,0.06711947626841248,15,0,3.950042524861333E7,1590,148,15,15,4.316573988632998,1
18,148,22,0.07055646481178407,21,0,6.0581893669037715E7,1660.399584345775,148,21,15,4.346033890433326,0.9545454545454546
19,150,27,0.07315875613747964,26,0,7.26313374986203E7,1702.0263657521052,150,26,15,4.368947147389138,0.9629629629629629
20,150,30,0.07561374795417361,29,0,8.051777170382671E7,1745.4500436878325,150,29,15,4.3902237431338165,0.9666666666666667
21,151,39,0.07831423895253695,36,0,1.0552842397290927E8,1789.8066499755605,151,36,15,4.413137000089626,0.9230769230769231
22,152,41,0.08126022913256967,37,0,1.111242834500652E8,1764.385685968955,152,37,15,4.437686918256566,0.9024390243902439
23,152,47,0.08342062193126035,41,0,1.2280221200923303E8,1812.558886240141,152,41,15,4.455690191578989,0.8723404255319149
24,152,53,0.08499181669394447,45,1,1.355690886726286E8,1729.9699709057218,152,46,15,4.4687834812680265,0.8679245283018868
25,154,54,0.08666121112929644,46,1,1.3777585501945662E8,1689.7947618687858,154,47,15,4.483513432168189,0.8703703703703703
26,154,55,0.08764320785597393,47,1,1.3843217078771186E8,1690.9831569275527,154,48,15,4.491696738223834,0.8727272727272727
27,154,56,0.08901800327332259,47,1,1.403594464003644E8,1640.6709126065768,154,48,15,4.503153366701739,0.8571428571428571
28,154,57,0.0904909983633389,47,1,1.417332311326329E8,1641.283789115159,154,48,15,4.516246656390773,0.8421052631578947
29,155,57,0.09201309328968917,47,1,1.417332311326329E8,1590,155,48,15,4.529339946079809,0.8421052631578947
30,156,57,0.09451718494271705,47,1,1.417332311326329E8,1641.7296159040716,156,48,15,4.550616541824489,0.8421052631578947
31,158,58,0.09682487725040943,47,1,1.4387722740290263E8,1641.7296159040716,158,48,15,4.571893137569168,0.8275862068965517
32,160,58,0.09855973813420639,47,1,1.4387722740290263E8,1642.3685319520291,160,48,16,4.58825974968046,0.8275862068965517
33,161,59,0.09998363338788893,48,1,1.4602205805759874E8,1642.3685319520291,161,49,16,4.601353039369497,0.8305084745762712
34,162,61,0.10111292962356813,48,1,1.499899596361265E8,1643.0234279617987,162,49,16,4.611173006636274,0.8032786885245902
35,162,64,0.10238952536824901,49,1,1.5639827388289693E8,1753.1508583111345,162,50,16,4.622629635114181,0.78125
36,164,67,0.10415711947626868,49,1,1.626986367035812E8,1816.2399597327735,164,50,17,4.63899624722547,0.746268656716418
37,164,75,0.1060720130932899,49,1,1.8053154804786456E8,1825.007681042204,164,50,17,4.6553628593367655,0.6666666666666666
38,164,77,0.10729950900163691,49,2,1.850094751199902E8,1852.533163891692,164,51,17,4.666819487814667,0.6623376623376623
39,164,79,0.10921440261865818,49,2,1.8969076478008136E8,1792.3099918989865,164,51,17,4.68318609992596,0.6455696202531646
40,164,81,0.11093289689034386,49,2,1.9472784527039573E8,1798.9568566759274,164,51,17,4.697916050826126,0.6296296296296297
41,164,82,0.11250409165302808,49,2,1.968785744187046E8,1734.0219890623425,164,51,17,4.7110093405151625,0.6219512195121951
42,164,82,0.11324058919803628,49,2,1.968785744187046E8,1736.5102793752799,164,51,17,4.717555985359679,0.6219512195121951
43,164,83,0.11422258592471388,49,2,1.9926030679876027E8,1736.5102793752799,164,51,17,4.725739291415324,0.6144578313253012
44,164,87,0.11579378068739797,49,2,2.0944836823266855E8,1813.6290937086385,164,51,17,4.73883258110436,0.5862068965517241
