tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,26,0,0.004166666666666666,0,0,0,1590,26,0,1,3.7663894924369963,0
1,42,0,0.007009803921568626,0,0,0,1590,42,0,1,3.794167270214777,0
2,64,0,0.011813725490196074,0,0,0,1590,64,0,1,3.839918904201706,0
3,78,0,0.015637254901960777,0,0,0,1590,78,0,1,3.8775006035481114,0
4,90,0,0.01931372549019606,0,0,0,1590,90,0,2,3.9118143290383065,0
5,98,0,0.023039215686274483,0,0,0,1590,98,0,2,3.9444940676003974,0
6,103,0,0.027303921568627428,0,0,0,1590,103,0,3,3.9820757669468057,0
7,109,0,0.03132352941176469,0,0,0,1590,109,0,3,4.018023479365103,0
8,114,0,0.03540849673202613,0,0,0,1590,114,0,4,4.053971191783407,0
9,116,0,0.03964052287581697,0,0,0,1590,116,0,5,4.091552891129811,0
10,118,0,0.04534313725490194,0,0,0,1590,118,0,6,4.140572498972949,0
11,120,0,0.050441176470588205,0,0,0,1590,120,0,6,4.1846901460317705,0
12,120,0,0.05490196078431372,0,0,0,1590,120,0,6,4.2222718453781765,0
13,120,6,0.059558823529411796,6,0,2.1357674999999996E7,1590,120,6,6,4.261487531652686,1
14,122,14,0.06318627450980396,14,0,4.792306196989316E7,1672.3567497572028,122,14,6,4.292533283286673,1
15,123,27,0.06799019607843146,27,0,9.177835218524179E7,1734.7593035165582,123,27,6,4.333382956489288,1
16,123,34,0.07210784313725498,34,0,1.159857818336967E8,1778.9851798661493,123,34,6,4.367696681979484,1
17,123,45,0.07539215686274517,43,0,1.5044663773916563E8,1822.5768549440838,123,43,6,4.3954744597572635,0.9555555555555556
18,124,65,0.08168300653594777,54,0,2.0214145629166242E8,1879.0401181881493,124,54,7,4.449396028384715,0.8307692307692308
19,125,78,0.08589869281045763,54,0,2.378376295781409E8,1932.8187336668327,125,54,7,4.485343740803017,0.6923076923076923
20,126,84,0.09165032679738579,54,0,2.5321445682629314E8,1831.4760741380132,126,54,7,4.534363348646151,0.6428571428571429
21,128,86,0.09558823529411786,54,1,2.579948060865023E8,1743.7258146682798,128,55,8,4.568677074136347,0.6395348837209303
22,128,88,0.09960784313725506,54,1,2.6305843672489017E8,1747.2845543091285,128,55,8,4.602990799626544,0.625
23,128,90,0.10294117647058841,54,1,2.684094510006953E8,1751.2728770430701,128,55,8,4.63076857740432,0.6111111111111112
24,129,93,0.10539215686274526,54,1,2.76921877977967E8,1810.6249719011444,129,55,8,4.65201040746968,0.5913978494623656
25,129,96,0.10715686274509816,54,1,2.8360271051991713E8,1819.5846610631722,129,55,8,4.666716289822624,0.5729166666666666
26,129,102,0.10911764705882374,55,1,3.00058602975598E8,1826.6058891864698,129,56,8,4.683056159103669,0.5490196078431373
27,129,105,0.11107843137254919,55,1,3.0717671992332196E8,1848.2201876942386,129,56,8,4.699396028384715,0.5333333333333333
28,129,112,0.11401960784313735,55,2,3.2430955644158465E8,1858.003548195194,129,57,8,4.723905832306284,0.5089285714285714
29,129,117,0.1163725490196081,55,3,3.3647370654132664E8,1962.6965053721785,129,58,8,4.743513675443535,0.49572649572649574
30,130,125,0.11906862745098071,55,3,3.5220432039024293E8,1996.66471372308,130,58,8,4.766389492437003,0.464
31,130,133,0.12044117647058855,55,3,3.621582919306751E8,2040.0599961924856,130,58,8,4.7778274009337345,0.43609022556390975
32,131,137,0.12254901960784344,55,3,3.673147542276442E8,1975.1304457725578,131,58,8,4.795801257142885,0.4233576642335766
33,131,139,0.12352941176470612,55,3,3.700396792309347E8,1888.76759083003,131,58,8,4.803971191783408,0.4172661870503597
34,131,143,0.12509803921568646,55,3,3.7576973310096127E8,1894.4890666076687,131,58,8,4.817043087208246,0.40559440559440557
35,131,149,0.12764705882352967,55,3,3.899195053126025E8,2014.797568198614,131,58,8,4.838284917273602,0.38926174496644295
36,133,153,0.13004901960784332,55,3,3.947783307533772E8,2183.423651332584,133,58,8,4.859526747338961,0.3790849673202614
37,134,157,0.13254901960784338,55,4,4.00366960720328E8,2086.724563493415,134,59,8,4.880768577404321,0.37579617834394907
38,135,157,0.13465686274509828,55,4,4.00366960720328E8,2245.637787391232,135,59,8,4.898742433613473,0.37579617834394907
39,136,162,0.13727124183006573,55,4,4.0753621549751925E8,2245.637787391232,136,59,8,4.921618250606936,0.36419753086419754
40,138,168,0.1397222222222225,55,4,4.147638686828331E8,2568.4101339902254,138,59,8,4.942860080672295,0.35119047619047616
41,138,168,0.14124183006535979,55,4,4.147638686828331E8,2629.18666795397,138,59,8,4.955931976097135,0.35119047619047616
42,138,173,0.14334967320261466,55,4,4.178920989725653E8,2926.0971445122464,138,59,8,4.973905832306284,0.34104046242774566
