tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,16,0,0.002647058823529412,0,0,0,1080,16,0,1,3.725447074335385,0
1,32,0,0.005833333333333333,0,0,0,1080,32,0,2,3.7564928259693695,0
2,51,0,0.009281045751633986,0,0,0,1080,51,0,3,3.7908065514595664,0
3,64,0,0.012924836601307187,0,0,0,1080,64,0,6,3.826754263877866,0
4,75,0,0.016127450980392154,0,0,0,1080,75,0,7,3.8594340024399614,0
5,86,0,0.019558823529411747,0,0,0,1080,86,0,7,3.8921137410020505,0
6,93,0,0.023366013071895404,0,0,0,1080,93,0,8,3.9280614534203515,0
7,103,0,0.028186274509803898,0,0,0,1080,103,0,9,3.9721791004791736,0
8,106,0,0.0308333333333333,0,0,0,1080,106,0,9,3.9966889044007443,0
9,109,0,0.0335457516339869,0,0,0,1080,109,0,9,4.021198708322315,0
10,111,0,0.03629084967320259,0,0,0,1080,111,0,9,4.04570851224388,0
11,112,0,0.04109477124183004,0,0,0,1080,112,0,9,4.086558185446495,0
12,114,0,0.04413398692810455,0,0,0,1080,114,0,9,4.112701976296171,0
13,116,1,0.04848039215686272,1,0,2539350,1080,116,1,9,4.151917662570679,1
14,118,8,0.052320261437908466,8,0,2.090163008356545E7,1115.6545961002785,118,8,10,4.186231388060875,1
15,121,13,0.05570261437908495,13,0,3.3466538872139487E7,1135.9042381106437,121,13,10,4.215643152766757,1
16,122,22,0.05929738562091503,22,0,5.728414867650635E7,1137.6254011280364,122,22,10,4.246688904400748,1
17,125,28,0.06230392156862749,27,0,6.946255988315183E7,1141.3053438694635,125,27,10,4.274466682178524,0.9642857142857143
18,128,29,0.0667320261437909,27,0,7.006912347223635E7,1101.1931053046844,128,27,10,4.313682368453037,0.9310344827586207
19,130,29,0.07006535947712418,27,0,7.006912347223635E7,1080,130,27,10,4.343094133158918,0.9310344827586207
20,130,32,0.07248366013071901,30,0,7.561499097223635E7,1080,130,30,10,4.364335963224272,0.9375
21,130,33,0.07616013071895428,31,0,7.760613709651345E7,1101.7165677087398,130,31,10,4.395381714858262,0.9393939393939394
22,131,35,0.07944444444444451,32,0,8.099302820708218E7,1101.8815651011328,131,32,10,4.423159492636039,0.9142857142857143
23,134,38,0.0827777777777779,33,0,8.696888172046651E7,1102.1620063647567,134,33,10,4.452571257341922,0.868421052631579
24,136,41,0.08602941176470602,34,1,9.261395582766098E7,1125.3714314296406,136,35,10,4.481983022047803,0.8536585365853658
25,136,45,0.08839869281045763,37,1,1.0140379773607725E8,1126.4695512516084,136,38,10,4.503224852113166,0.8444444444444444
26,136,49,0.08996732026143801,39,1,1.0970842057208322E8,1152.0287316245053,136,40,10,4.516296747538001,0.8163265306122449
27,136,54,0.09285947712418317,43,1,1.1980769561123174E8,1154.2440846199963,136,44,10,4.540806551459569,0.8148148148148148
28,136,57,0.09472222222222235,45,1,1.2530258255766287E8,1209.2953583518747,136,46,10,4.557146420740613,0.8070175438596491
29,136,62,0.09683006535947726,47,1,1.3470304303840142E8,1212.8745377207163,136,48,10,4.575120276949765,0.7741935483870968
30,136,71,0.09957516339869299,50,1,1.4972800981195113E8,1246.7335394518866,136,51,10,4.597996093943227,0.7183098591549296
31,136,74,0.10160130718954259,50,1,1.5584371021533713E8,1200.3042915308308,136,51,10,4.615969950152381,0.6891891891891891
32,136,77,0.10316993464052301,51,1,1.6071373509458983E8,1204.1952341495462,136,52,10,4.629041845577214,0.6753246753246753
33,137,78,0.10449346405228772,52,1,1.624157963238675E8,1207.4567557170567,137,53,10,4.640479754073947,0.6794871794871795
34,137,80,0.10566993464052299,53,1,1.6669667217515787E8,1241.103385167895,137,54,10,4.650283675642572,0.675
35,137,84,0.10704248366013089,54,1,1.711116379843599E8,1277.7487842224564,137,55,10,4.6617215841393085,0.6547619047619048
36,137,88,0.1080228758169936,54,2,1.782389501206596E8,1249.213953583698,137,56,10,4.66989151877983,0.6363636363636364
37,138,99,0.11057189542483672,54,4,1.9962967810097766E8,1257.5599599216146,138,58,10,4.691133348845189,0.5858585858585859
38,138,101,0.11174836601307209,54,5,2.0174751303283882E8,1285.3143614984615,138,59,10,4.700937270413819,0.5841584158415841
39,138,102,0.11351307189542499,54,5,2.0324186228575704E8,1204.8167320076263,138,59,10,4.715643152766758,0.5784313725490197
40,139,103,0.11464052287581712,54,5,2.052278512859988E8,1206.6463128984599,139,59,10,4.725447074335386,0.5728155339805825
41,139,103,0.11620915032679764,54,5,2.052278512859988E8,1208.5303281949316,139,59,10,4.738518969760225,0.5728155339805825
42,139,103,0.11679738562091525,54,5,2.052278512859988E8,1208.5303281949316,139,59,10,4.743420930544537,0.5728155339805825
43,139,105,0.11758169934640547,54,5,2.0857988383505136E8,1208.5303281949316,139,59,10,4.749956878256952,0.5619047619047619
44,139,107,0.11915032679738584,54,5,2.1276092381215894E8,1212.1591583989498,139,59,10,4.763028773681792,0.5514018691588785
45,139,109,0.12008169934640545,54,5,2.165732055326512E8,1216.3298143071725,139,59,10,4.771198708322314,0.5412844036697247
46,140,114,0.121013071895425,54,5,2.2424931353189164E8,1267.6963755639047,140,59,10,4.779368642962837,0.5175438596491229
47,140,114,0.12155228758169953,54,5,2.2424931353189164E8,1230.854866624351,140,59,10,4.784270603747152,0.5175438596491229
48,141,116,0.12287581699346427,54,5,2.2663031189138678E8,1281.1398221658012,141,59,10,4.795708512243881,0.5086206896551724
49,142,117,0.12361111111111132,54,5,2.2801350205449572E8,1337.724617750206,142,59,10,4.802244459956301,0.5042735042735043
50,143,120,0.12527777777777793,54,5,2.3106374057109526E8,1341.3918229189926,143,59,10,4.8169503423092435,0.49166666666666664
51,144,123,0.1273366013071898,54,5,2.3544203783074337E8,1295.977284833134,144,59,10,4.834924198518395,0.4796747967479675
52,144,126,0.12846405228758187,54,7,2.385040921956281E8,1362.691380370185,144,61,10,4.844728120087023,0.48412698412698413
53,144,130,0.13013071895424852,54,7,2.4268924513591942E8,1315.2235394365705,144,61,10,4.859434002439961,0.46923076923076923
54,144,131,0.13071895424836644,54,7,2.4347757694900718E8,1324.1485060682762,144,61,10,4.864335963224278,0.46564885496183206
55,144,132,0.13091503267973884,54,7,2.437621189256463E8,1387.7949267359697,144,61,10,4.865969950152382,0.4621212121212121
56,144,133,0.1316503267973859,54,7,2.4490458302529454E8,1389.0797414680992,144,61,10,4.872505897864801,0.45864661654135336
57,144,136,0.13282679738562117,54,7,2.478731057864511E8,1392.0061715582444,144,61,10,4.8823098194334245,0.4485294117647059
58,144,139,0.13434640522875846,54,7,2.5204375866692019E8,1400.3350475415243,144,61,10,4.895381714858261,0.43884892086330934
59,144,140,0.13566993464052307,54,7,2.5212222215816924E8,1413.6968990439887,144,61,10,4.9068196233549966,0.4357142857142857
60,144,142,0.13665032679738595,54,7,2.5353999718399265E8,1414.0839920723736,144,61,10,4.914989557995517,0.4295774647887324
61,144,144,0.1376307189542486,55,7,2.5642753748987865E8,1417.911001061161,144,62,10,4.9231594926360405,0.4305555555555556
62,144,145,0.13900326797385637,56,7,2.585550047869848E8,1429.3892984672134,144,63,10,4.934597401132776,0.43448275862068964
63,144,148,0.13978758169934669,56,7,2.6079279700138322E8,1438.0773821723649,144,63,10,4.941133348845194,0.42567567567567566
64,144,149,0.13998366013071914,56,7,2.615117272620446E8,1449.0909763897896,144,63,10,4.942767335773298,0.4228187919463087
65,144,149,0.1409640522875819,56,7,2.615117272620446E8,1452.914290264889,144,63,10,4.95093727041382,0.4228187919463087
66,144,151,0.14116013071895445,56,7,2.6455521947157696E8,1452.914290264889,144,63,10,4.952571257341928,0.41721854304635764
67,144,151,0.1413562091503271,56,7,2.6455521947157696E8,1466.9431285293153,144,63,10,4.954205244270028,0.41721854304635764
68,144,151,0.14214052287581724,56,7,2.6455521947157696E8,1466.9431285293151,144,63,10,4.960741191982445,0.41721854304635764
69,144,153,0.14292483660130748,57,7,2.686908988866832E8,1466.9431285293151,144,64,10,4.9672771396948665,0.41830065359477125
70,144,154,0.14351307189542506,57,7,2.7090696916700673E8,1488.9193115468122,144,64,10,4.9721791004791775,0.4155844155844156
71,144,156,0.14410130718954273,57,7,2.7160762993060976E8,1500.870854610524,144,64,10,4.97708106126349,0.41025641025641024
72,144,157,0.14449346405228794,57,7,2.717112241206798E8,1505.3693441165278,144,64,10,4.980349035119702,0.40764331210191085
73,144,157,0.14527777777777806,57,7,2.717112241206798E8,1505.988849862729,144,64,10,4.986884982832121,0.40764331210191085
74,145,157,0.1454738562091506,57,7,2.717112241206798E8,1505.9888498627288,145,64,10,4.988518969760224,0.40764331210191085
75,145,158,0.14566993464052314,57,7,2.722103510584207E8,1505.9888498627288,145,64,10,4.990152956688328,0.4050632911392405
76,145,161,0.14606209150326824,57,7,2.736594408092334E8,1508.9979126627052,145,64,10,4.993420930544537,0.39751552795031053
77,145,161,0.14625816993464083,57,7,2.736594408092334E8,1517.0587088373045,145,64,10,4.9950549174726415,0.39751552795031053
78,145,163,0.14684640522875847,57,7,2.7478531822618324E8,1517.0587088373045,145,64,10,4.999956878256955,0.39263803680981596
79,145,163,0.14684640522875847,57,7,2.7478531822618324E8,1523.1107530117813,145,64,10,4.999956878256958,0.39263803680981596
80,145,166,0.147042483660131,57,7,2.760449471830035E8,1523.1107530117813,145,64,10,5.0015908651850625,0.3855421686746988
81,145,166,0.14704248366013098,57,7,2.760449471830035E8,1529.7034123690257,145,64,10,5.001590865185058,0.3855421686746988
82,145,166,0.14723856209150357,57,7,2.760449471830035E8,1529.703412369026,145,64,10,5.003224852113169,0.3855421686746988
83,145,166,0.14723856209150346,57,7,2.760449471830035E8,1529.7034123690257,145,64,10,5.003224852113166,0.3855421686746988
84,145,166,0.1472385620915035,57,7,2.760449471830035E8,1529.7034123690257,145,64,10,5.003224852113167,0.3855421686746988
85,145,166,0.14723856209150352,57,7,2.760449471830035E8,1529.703412369026,145,64,10,5.003224852113169,0.3855421686746988
86,145,167,0.14743464052287603,57,7,2.784421836431123E8,1529.7034123690257,145,64,10,5.004858839041269,0.38323353293413176
87,145,167,0.14782679738562127,57,7,2.784421836431123E8,1544.2001048103646,145,64,10,5.008126812897478,0.38323353293413176
88,145,167,0.14802287581699372,57,7,2.784421836431123E8,1544.2001048103648,145,64,10,5.009760799825583,0.38323353293413176
89,145,167,0.14821895424836645,57,7,2.784421836431123E8,1544.2001048103646,145,64,10,5.011394786753688,0.38323353293413176
90,145,167,0.1486111111111114,57,7,2.784421836431123E8,1544.2001048103646,145,64,10,5.014662760609897,0.38323353293413176
91,146,167,0.14919934640522914,57,7,2.784421836431123E8,1544.2001048103646,146,64,10,5.019564721394211,0.38323353293413176
92,146,167,0.14939542483660156,57,7,2.784421836431123E8,1544.2001048103646,146,64,10,5.021198708322312,0.38323353293413176
93,146,167,0.14939542483660162,57,7,2.784421836431123E8,1544.2001048103648,146,64,10,5.0211987083223155,0.38323353293413176
94,146,167,0.14959150326797424,57,7,2.784421836431123E8,1544.2001048103646,146,64,10,5.02283269525042,0.38323353293413176
95,146,167,0.14978758169934653,57,7,2.784421836431123E8,1544.2001048103646,146,64,10,5.024466682178525,0.38323353293413176
96,146,167,0.14978758169934675,57,7,2.784421836431123E8,1544.2001048103648,146,64,10,5.024466682178527,0.38323353293413176
97,146,167,0.14998366013071923,57,7,2.784421836431123E8,1544.2001048103646,146,64,10,5.02610066910663,0.38323353293413176
98,146,167,0.1503758169934644,57,7,2.784421836431123E8,1637.0401257724377,146,64,10,5.029368642962838,0.38323353293413176
99,146,167,0.15096405228758197,57,7,2.784421836431123E8,1637.0401257724377,146,64,10,5.034270603747151,0.38323353293413176
100,146,168,0.15135620915032702,57,7,2.795199290099146E8,1637.040125772438,146,64,10,5.037538577603361,0.38095238095238093
101,146,169,0.15174836601307223,57,7,2.8060246489452165E8,1644.3166774619958,146,64,10,5.040806551459571,0.378698224852071
102,146,170,0.15174836601307212,57,7,2.816899181094474E8,1651.7858508783725,146,64,10,5.04080655145957,0.3764705882352941
103,146,172,0.15233660130718985,57,7,2.839271958758335E8,1659.4553971117894,146,64,10,5.045708512243888,0.37209302325581395
104,146,172,0.15292483660130743,57,7,2.839271958758335E8,1675.4287490674687,146,64,10,5.050610473028199,0.37209302325581395
105,146,172,0.15292483660130743,57,7,2.839271958758335E8,1774.6668739120466,146,64,10,5.0506104730282,0.37209302325581395
106,146,172,0.15351307189542518,57,7,2.839271958758335E8,1774.6668739120469,146,64,10,5.055512433812515,0.37209302325581395
107,146,172,0.1535130718954251,57,7,2.839271958758335E8,1774.6668739120469,146,64,10,5.0555124338125115,0.37209302325581395
108,146,172,0.1537091503267977,57,7,2.839271958758335E8,1774.6668739120466,146,64,10,5.057146420740617,0.37209302325581395
109,146,172,0.15449346405228787,57,7,2.839271958758335E8,1774.6668739120469,146,64,10,5.063682368453035,0.37209302325581395
110,146,172,0.1548856209150329,57,7,2.839271958758335E8,1774.6668739120469,146,64,10,5.066950342309244,0.37209302325581395
111,146,173,0.155277777777778,57,7,2.866424842190319E8,1873.9049987566248,146,64,10,5.0702183161654535,0.3699421965317919
112,146,173,0.15547385620915066,57,7,2.866424842190319E8,1902.237393588865,146,64,10,5.071852303093559,0.3699421965317919
113,146,173,0.15547385620915063,57,7,2.866424842190319E8,1902.237393588865,146,64,10,5.071852303093559,0.3699421965317919
114,146,175,0.15625816993464087,57,7,2.908608858630546E8,1902.237393588865,146,64,10,5.078388250805976,0.3657142857142857
115,146,175,0.15625816993464087,57,7,2.908608858630546E8,1945.4787379635904,146,64,10,5.078388250805976,0.3657142857142857
116,146,176,0.1564542483660134,57,7,2.939862974555931E8,1945.4787379635904,146,64,10,5.080022237734077,0.36363636363636365
