tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,24,0,0.0038486842105263162,0,0,0,1590,24,0,0,3.688661145154054,0
1,42,0,0.007055921052631578,0,0,0,1590,42,0,0,3.7199111451540543,0
2,53,0,0.009736842105263157,0,0,0,1590,53,0,1,3.7478716714698432,0
3,73,0,0.014884868421052628,0,0,0,1590,73,0,2,3.7972137767330025,0
4,85,0,0.01878289473684209,0,0,0,1590,85,0,2,3.8333979872593162,0
5,88,0,0.023322368421052612,0,0,0,1590,88,0,2,3.874516408311949,0
6,92,0,0.028157894736842083,0,0,0,1590,92,0,2,3.9172795662066844,0
7,101,0,0.033141447368421034,0,0,0,1590,101,0,2,3.9616874609435304,0
8,105,0,0.037236842105263145,0,0,0,1590,105,0,2,3.9978716714698463,0
9,106,2,0.040838815789473654,2,0,9492299.999999998,1590,106,2,2,4.029121671469846,1
10,106,7,0.04384868421052629,7,0,3.414839611592954E7,1609.3166287015947,106,7,2,4.055437460943531,1
11,108,8,0.04794407894736839,8,0,3.913304611592954E7,1590,108,8,2,4.091621671469842,1
12,112,10,0.05297697368421052,10,0,4.970975707875535E7,1609.8494616173234,112,10,2,4.136029566206691,1
13,114,14,0.056381578947368456,14,0,7.110714970919052E7,1610.0370677528344,114,14,2,4.16563482936458,1
14,115,19,0.06087171052631582,19,0,9.985081482671005E7,1630.846247802526,115,19,2,4.205108513575106,1
15,117,24,0.06600328947368424,24,0,1.2478025060125595E8,1631.8542604764725,117,24,2,4.249516408311952,1
16,118,32,0.07014802631578952,31,0,1.5789797503361595E8,1611.3328678227003,118,31,2,4.285700618838266,0.96875
17,118,38,0.07409539473684214,35,0,1.8327686014341083E8,1656.68262541931,118,35,2,4.320240092522475,0.9210526315789473
18,119,52,0.0781907894736843,43,0,2.4220033579461485E8,1658.81158315961,119,43,2,4.354779566206685,0.8269230769230769
19,119,58,0.08154605263157903,46,0,2.6232622430103713E8,1738.900280848577,119,46,2,4.382740092522479,0.7931034482758621
20,119,65,0.08623355263157911,48,0,2.82150144257485E8,1718.0854396944624,119,48,2,4.422213776733004,0.7384615384615385
21,121,68,0.08889802631578958,49,0,2.933114351188805E8,1642.9367573997945,121,49,2,4.445240092522478,0.7205882352941176
22,121,71,0.09121710526315803,49,0,3.0234211982080305E8,1643.9470577446991,121,49,2,4.464976934627741,0.6901408450704225
23,121,74,0.09378289473684225,49,0,3.1204847958488655E8,1644.6514419414264,121,49,2,4.486358513575113,0.6621621621621622
24,122,80,0.0962993421052633,49,0,3.3250388488668954E8,1645.3833093470917,122,49,2,4.507740092522478,0.6125
25,123,81,0.09901315789473691,49,0,3.3357387790320224E8,1676.4631346823585,123,49,2,4.530766408311953,0.6049382716049383
